"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°005
id 29","29/01/95
00:00","29/01/95
00:00","2200","1700","","","","","","4","2","1","5","5","5","1-20","X","er","","","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°005
id 29","01/03/94
00:00","01/03/94
00:00","2200","1700","","","","","","4","5","2","2","2","2","21-50","","","X","","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","27/02/94
00:00","27/02/94
00:00","2200","1800","","","","","","4","5","2","2","2","2","21-50","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","12/01/94
00:00","12/01/94
00:00","2200","1700","","","","","","4","2","5","5","5","5","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","08/01/94
00:00","08/01/94
00:00","2200","1700","","","","","","4","5","5","5","5","5","51-
100","","","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","09/03/91
00:00","09/03/91
00:00","2200","1700","","","","","","4","2","2","5","5","2","51-
100","","","X","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°005
id 29","19/02/91
00:00","19/02/91
00:00","2200","1700","","","","","","4","4","2","5","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","16/02/91
00:00","16/02/91
00:00","2100","1750","","","","","","4","3","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","14/02/90
00:00","14/02/90
00:00","2100","1750","","","","","","2","5","2","5","2","2","51-
100","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","26/04/89
00:00","26/04/89
00:00","2000","1750","","","","","","4","2","2","5","2","2","21-50","X","er","","","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°005
id 29","05/03/89
00:00","05/03/89
00:00","2000","1800","","","","","","2","4","2","5","2","2","1-20","X","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","19/01/87
00:00","19/01/87
00:00","2200","1700","","","","","","4","5","1","2","5","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","08/04/86
00:00","08/04/86
00:00","2100","1700","","","","","","4","2","2","2","2","2","21-50","","","","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°005
id 29","05/03/86
00:00","05/03/86
00:00","2200","1700","","","","","","2","4","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","24/02/86
00:00","24/02/86
00:00","2200","1700","","","","","","4","2","2","2","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","21/02/86
00:00","21/02/86
00:00","2100","1700","","","","","","4","2","1","5","5","5",">100","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","07/02/86
00:00","07/02/86
00:00","2000","1700","","","","","","4","5","1","5","5","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 29","31/01/86
00:00","31/01/86
00:00","2000","1700","","","","","","2","2","5","5","5","5","21-50","X","er","","","","","X","","X","","X","","","","X","","","X","","","","","","",""
