"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°002
id 42","06/03/91
00:00","06/03/91
00:00","2450","1400","","","","","","2","1","2","2","2","2","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Signature illisible.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 42","20/04/88
00:00","20/04/88
00:00","2400","1400","","","","","","2","3","2","2","2","2","0","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","04/05/86
00:00","04/05/86
00:00","2500","1400","","","","","","2","1","2","2","2","2","0","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","18/02/86
00:00","18/02/86
00:00","2450","1400","","","","","","4","2","1","2","1","1","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Heure non précisée : route fermée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 198","29/03/84
00:00","29/03/84
00:00","2450","1400","","","","","","4","4","2","2","2","2","21-50","","","X","","","","","X","","","X","","","","X","","","X","","","","","X","",""
"n°002
id 198","25/01/84
00:00","25/01/84
00:00","2450","1400","","","","","","4","4","2","2","2","2","51-
100","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","26/03/79
00:00","26/03/79
00:00","2400","1400","","","","","","4","2","2","2","2","2","51-
100","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","28/01/79
00:00","28/01/79
00:00","2400","1400","","","","","","4","2","2","2","2","2","51-
100","","","","X","X","","","","","","X","","","","X","","","","","","","","X","",""
"n°002
id 42","28/01/78
00:00","28/01/78
00:00","2450","1400","","","","","","4","2","1","2","1","1","51-
100","X","N","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","13/01/78
00:00","13/01/78
00:00","2450","1400","","","","","","4","2","2","2","2","2","51-
100","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","26/01/77
00:00","26/01/77
00:00","2450","1400","","","","","","4","4","2","2","2","2","0","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","23/01/77
00:00","23/01/77
00:00","2400","1400","","","","","","4","4","2","2","2","2","1-20","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","01/01/77
00:00","01/01/77
00:00","2450","1400","","","","","","4","4","2","2","2","2","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : La route étant coupée, il peut y avoir d'autres avalanches que j'enverrai ultérieurement.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 42","10/11/76
00:00","10/11/76
00:00","2450","1400","","","","","","4","4","2","2","2","2","51-
100","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","06/04/75
00:00","06/04/75
00:00","2500","1400","","","","","","4","4","5","2","2","2","51-
100","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 42","08/04/71
00:00","08/04/71
00:00","1900","1400","","","","","","4","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 03/05/1971.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
