"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°002
id 97","25/03/91
00:00","25/03/91
00:00","2000","1750","","","","","","2","2","2","2","2","2","21-50","X","E","","X","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","08/03/91
00:00","08/03/91
00:00","2200","1700","","","","","","2","2","2","2","2","2","51-
100","","","","X","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","22/02/90
00:00","22/02/90
00:00","2200","1850","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","24/03/88
00:00","24/03/88
00:00","2100","1750","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","28/01/88
00:00","28/01/88
00:00","2000","1750","","","","","","4","4","2","2","2","2","er","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","20/04/87
00:00","20/04/87
00:00","2150","1800","","","","","","4","4","2","2","2","2","0","","","","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","08/04/87
00:00","08/04/87
00:00","2000","1750","","","","","","4","4","2","2","2","2","51-
100","X","E","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°002
id 97","24/03/86
00:00","24/03/86
00:00","2000","1800","","","","","","4","3","2","2","2","2","0","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","20/04/85
00:00","21/04/85
00:00","1950","1800","","","","","","4","5","2","5","2","2","0","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Deux types de temps ayant régnés les 20 et 21, je ne peux instruire la case ""météo lors du déclenchement"".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 97","06/04/85
06/04/85
00:00
00:00","","1950","1700","","","","","","4","3","2","2","2","2","0","","","X","","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","28/02/85
28/02/85
00:00
00:00","","2000","1800","","","","","","4","3","2","2","2","2","0","","","","X","X","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","10/04/83
10/04/83
00:00
00:00","","1900","1700","","","","","","4","2","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","03/04/82
04/04/82
00:00
00:00","","2000","1750","","","","","","4","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 97","29/03/80
29/03/80
00:00
00:00","","2200","1750","","","","","","2","5","2","2","2","2","1-20","","","X","X","","","X","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Idem que le 27.03. La zone de départ formée de trois couloirs, partie 2 le 27, 1 le 29 + départ en plein peuplement de mélèzes aux altitude 2200.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 97","27/03/80
00:00","27/03/80
00:00","2200","1700","","","","","","2","5","2","2","2","2","1-20","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°002
id 97","05/04/72
00:00","05/04/72
00:00","1900","1700","","","","","","4","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 97","21/03/71
00:00","21/03/71
00:00","1900","1700","","","","","","4","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 24/03/1971.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
