"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°007
id 114","12/03/04
00:00","17/03/04
00:00","2650","2000","","","80","20","1.0","4","3","2","2","2","2","0","","er","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 17/03/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 114","16/03/03
00:00","16/03/03
00:00","2750","1950","","","","","","2","2","2","2","2","2","21-50","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque :  Remarque dépôt:Dépôt étalé sur une grande longueur.  Plaque friable d'environ 40 cm de H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 114","14/01/03
00:00","14/01/03
00:00","2800","2100","","","100","80","0.800
0000
12","4","1","2","2","2","2","er","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Redoux lors du déclenchement. Remarque dépôt:L = 100 m, l = 80 m, H = 0,80 m.  B : neige entre vieille et récente.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 114","03/03/01
00:00","03/03/01
00:00","2800","1900","","","","","","2","1","2","2","2","2","1-20","","","X","X","X","X","","","X","X","X","","","","X","","","X","","","","","","",""
"Remarque : Volume important.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 114","31/12/00
00:00","31/12/00
00:00","2800","2250","","","","","","5","3","5","2","2","5","0","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°007
id 114","24/03/96
00:00","25/03/96
00:00","2850","1900","","","","","","4","5","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Plusieurs départs entre le 24 et le 25 essentiellement jour et soir (observation directe d'un le 25 à 16h45).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 114","07/01/94
00:00","07/01/94
00:00","2850","1850","","","","","","4","2","1","2","1","1",">100","","","","","X","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°007
id 114","08/03/91
00:00","08/03/91
00:00","2800","1900","","","","","","4","2","2","2","2","2","51-
100","","","","X","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 114","08/04/87
00:00","08/04/87
00:00","2900","1950","","","","","","4","4","2","2","2","2","51-
100","X","E","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°007
id 114","05/04/87
00:00","05/04/87
00:00","2800","2250","","","","","","1","2","2","2","2","2","51-
100","X","E","","","X","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°007
id 114","08/04/86
00:00","08/04/86
00:00","2800","1900","","","","","","4","2","2","2","2","2","21-50","X","E","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 114","09/03/86
00:00","09/03/86
00:00","2800","1900","","","","","","4","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°007
id 114","20/02/86
00:00","20/02/86
00:00","2850","1900","","","","","","2","2","5","2","9","5","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°007
id 114","09/06/84
00:00","11/06/84
00:00","2650","2300","","","","","","4","3","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°007
id 114","12/04/84
00:00","12/04/84
00:00","2500","1900","","","","","","4","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
