"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°005
id 135","08/04/87
00:00","08/04/87
00:00","2400","1800","","","","","","2","2","2","2","5","2","1-20","","","","","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 135","25/04/86
00:00","25/04/86
00:00","2600","1600","","","","","","2","4","2","2","2","2","1-20","","","X","","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 135","18/02/86
00:00","19/02/86
00:00","2400","1800","","","","","","4","2","1","2","1","1","21-50","","","","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 135","02/03/85
00:00","02/03/85
00:00","2300","1800","","","","","","5","5","5","2","5","5","21-50","er","er","er","er","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 135","06/04/84
00:00","06/04/84
00:00","2400","1800","","","","","","2","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 135","28/03/84
00:00","29/03/84
00:00","2500","1900","","","","","","5","2","5","2","5","5","21-50","er","er","er","er","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 135","27/03/84
00:00","27/03/84
00:00","2400","1950","","","","","","4","2","2","2","2","2","51-
100","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 135","01/01/82
00:00","01/01/82
00:00","2150","1600","","","","","","2","2","2","2","2","2","21-50","er","er","er","er","","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°005
id 135","26/01/79
00:00","26/01/79
00:00","2000","1550","","","","","","2","4","2","2","2","2","0","","","X","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°005
id 135","06/04/71
00:00","06/04/71
00:00","2400","1350","","","","","","1","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 135","08/01/63
00:00","08/01/63
00:00","2000","1350","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 22/01/2064.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 135","26/03/55
00:00","26/03/55
00:00","1920","1600","","","","","","1","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 28/03/2055.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
