"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 20/07/2004 :
Site 05026 016 (id 343) --> site 05026 016 (id 8632)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°016
id 8632","06/02/15
00:00","07/02/15
00:00","","2500","2000","","","100","10","1.0","8","2","9","2","2","1","21-50","X","E","","","X","","X","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 10/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 8632","10/02/14
00:00","11/02/14
00:00","","2600","1910","","","50","20","1.0","8","2","1","2","1","1","21-50","X","","","","X","","X","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 14/02/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dèpot à 50m de la piste forestiere de Jalavez","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 8632","06/12/10
00:00","07/12/10
00:00","","2400","2000","","","70","10","1.0","4","1","2","2","5","2","21-50","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 8632","11/01/08
00:00","13/01/08
00:00","","2500","1980","","X","50","10","2.0","4","2","9","2","2","9","21-50","?","","?","?","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 28/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avis transmis avec du retard, car l'avalanche a été recouverte par de la neige fraîche, donc peu visible. Avalanche de faible ampleur qui s'est stoppée principalement dans la partie
supérieure vers 2200m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 343","05/03/01
00:00","05/03/01
00:00","","2130","1880","","","","","","2","2","2","1","2","5","21-50","X","er","X","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : avalanche de plaque à vent. Probablement déclenchée l'après-midi avec l'ensoleillement.  Arrivée 20 m en contrebas de la route forestière avec un dépôt important.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 343","13/01/78
00:00","13/01/78
2250
00:00","","","1950","","","","","","4","2","1","2","1","1","51-
100","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°016
id 343","21/03/71
00:00","28/03/71
2350
00:00","","","1850","","","","","","4","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
