"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Avalanche 'classique'. Elle a recouvert le chemin communal du Bois Noir. Probablement descendue avec le 2° retour d'Est du printemps.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 8635","01/04/08
00:00","01/06/08
2300
00:00","","1840","","X","50","50","6.0","9","9","9","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 16/06/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche observée très tardivement en raison d'un éboulement rocheux en aval. Elle est arrivée dans le lit du Gistillan.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 8635","15/03/07
00:00","15/04/07
00:00","2300","1850","","X","20","10","3.0","4","4","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 16/04/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche de neige humide peu importante. Zone de dépôt dans le lit du Cristillon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 8635","18/01/06
00:00","25/04/06
2300
00:00","","1850","X","","40","30","5.0","9","9","9","2","2","9","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 25/04/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : L'avalanche a atteint la route du Crestillan sans faire de dégâts. Dépôt peu important.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 346","03/02/03
00:00","03/02/03
00:00","","1800","","","","","","3","2","1","2","1","1","21-50","X","SO","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Les 2 couloirs inférieurs sont descendus. Celui rive droite est arrivée au torrent du Cristillan (dépôt : 40 m * 40 m * 3 m). La manche rive gauche a traversé le torrent puis est
remonté sur le versant opposé en coupant la route (piste de fond, dépôt : 40 m * 40 m * 6 m).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 346","06/01/01
00:00","06/01/01
00:00","2200","1800","","","","","","4","3","2","2","2","2","er","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Pluie pendant 24 h avant le déclenchement jusqu'à 2600 m.  L'avalanche a obstrué le torrent du Cristillan (branche rive gauche).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 346","20/03/00
00:00","30/06/00
00:00","2300","1800","","","","","","4","4","2","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Postérieure au 20.03.00.  Important dépôt dans le torrent du Cristillan (nom incertain car mal écrit) pour les 2 branches.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 346","13/02/96
00:00","13/02/96
00:00","","1800","","","","","","9","9","9","2","9","9","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Aucun constat des caractéristiques en raison du recouvrement par de la neige fraîche. L'avalanche a traversé le chemin communal de la vallée du Cristillan (nom incertain car mal
écrit) qui est itinéraire de ski de fond.  Dépôt relativement important : 2,50 m sur la route.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 346","28/02/94
00:00","28/02/94
00:00","2300","1800","","","","","","4","5","2","2","2","2","21-50","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°019
id 346","17/03/93
00:00","17/03/93
00:00","2100","1800","","","","","","4","3","2","2","2","2","er","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°019
id 346","01/03/93
00:00","01/03/93
00:00","2100","1800","","","","","","1","2","1","2","2","1","1-20","X","E","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Le fort episode neigeux en ""retour d'est"" n'a que très peu affecté la commune de Ceillac (30cm de neige). C'est pourquoi les causes de cette avalmanche sont incertaines.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 346","14/02/90
00:00","14/02/90
00:00","2300","1800","","","","","","2","2","2","1","2","5","51-
100","X","O","","","","X","","","","","X","","","","X","","","X","","","","","","",""
