"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Dépôt sur la route du hameau de Serre-Buzard sur 60m de long. Hauteur maxi : 4m. Un pateau EDF cassé, la ligne est très tendue, mais non rompue. Deblaiement par le
tractopelle communal, de 8h30 à 17h. Fin du dépôt à 20 m en aval de la route.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6179","12/01/10
00:00","18/01/10
00:00","2400","1750","","","50","8","","8","2","9","2","2","9","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 18/01/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6179","16/12/08
00:00","16/12/08
00:00","?","1232","","","950","8","2.0","9","3","2","2","2","1","0","X","NE","","X","?","?","?","?","?","?","X","","","","X","","","","","","","X","","I","O"
"Date du constat : 16/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Seuil d'alerte franchi. L'avalanche s'est arrêté au niveau de la route de SERRE-BUZARD. Pas de dépôt en aval. 2h de tracto-pelle communal pour ouvrir la route. Pas de visibilité
de la zone de départ. Pluie.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6179","21/01/08
00:00","23/01/08
00:00","2400","1700","","","50","3","","4","2","9","2","2","9","0","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 25/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6179","12/02/07
00:00","15/02/07
00:00","2250","1500","","","50","5","","8","1","9","2","2","9","21-50","X","N","X","","","","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 15/02/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : P. Peyron a entendu un grand claquement ce matin du 15/02/07 vers 09h. Heure probable du déclenchement de cette coulée qui s'est arrêtée bien au dessus de la route.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6179","03/01/06
00:00","19/01/06
00:00","2460","1900","","","","20","","4","2","9","2","2","9","21-50","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/01/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Départ commun avec site 6. Chute de neige des 16-17 janvier sur 'vieille' neige (31/12/05)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 424","02/03/01
00:00","03/03/01
00:00","","","","","","","","2","2","2
2
2","","","2","21-50","","","X","X","","","","","","X","X","","","","X","","","","","","","X","","",""
"Remarque : Route de Serre Buzard à Saint Etienne coupée. 4 m environ de dépôts neige mouillée. Intervention : 5 h de tracto-pelle.  Heure notée : entre 21 h et 5 h du matin.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 424","20/01/98
00:00","20/01/98
00:00","2300","1200","","","","","","2","2","2","2","2","2","51-
100","","","","","X","","X","","","","X","","","","X","","","","","","","X","","",""
"Remarque : Apport de neige plus important qu'hier sur la route de St Etienne à Serre Buzard. Le tracto-pelle a travaillé environ 4 heures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 424","19/01/98
00:00","19/01/98
00:00","2350","1220","","","","","","2","2","5","2","2","5","er","","","","X","X","","","","","","X","","","","X","","","","","","","X","","",""
"Remarque : A ""rempli"" la route de St Etienne à Serre Buzard sans commettre de dégâts. Environ 3 mètres sur la route intervention du tracto-pelle  environ 1 heure.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 424","01/03/95
00:00","01/03/95
00:00","2300","1850","","","","","","1","4","2","2","2","9","er","","","X","X","","X","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Partie haute, sol nu aperçu lors d'une éclaircie, redoux, pluie, brouillard, soleil en alternance. Limitée à la partie haute du couloir.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 424","06/01/94
00:00","06/01/94
00:00","2300","1220","","","","","","2","9","2","2","9","2","51-
100","","","X","","X","X","","","","X","X","","","","X","","","","","","X","X","","",""
