"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 24/06/2003 :
Site 05045 001 (id 477) --> site 05045 001 (id 6319)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 6319","16/04/17
08:00","16/04/17
14:00","","2300","1850","","","100","30","2.0","8","3","9","2","2","9","?","?","","?","?","?","?","?","?","?","?","","X","","","","X","","X","","","","","","B","N"
"Date du constat : 19/04/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche déclenchée par le passage de 2 skieurs, les secours sont intervenus par hélicoptères. Un des skieurs polytraumatisé a été évacué vers l'hôpital de Gap.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6319","04/03/13
00:00","11/03/13
00:00","","2250","1820","","","200","40","1.0","8","3","2","5","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 11/03/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6319","19/03/10
00:00","24/03/10
00:00","","2200","1780","","","100","30","1.0","4","3","2","5","2","2","?","?","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 24/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6319","18/04/08
00:00","23/04/08
00:00","","2250","1800","","","100","50","1.0","4","3","2","2","2","2","?","","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/04/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6319","12/04/07
00:00","13/04/07
00:00","","2200","1800","","","100","50","0.5","9","3","2","2","2","2","0","","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 13/04/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6319","02/03/07
00:00","06/03/07
00:00","","2200","1900","","","250","20","0.5","9","2","2","2","2","2","21-50","","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 06/03/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Sommets accrochés par les nuages. Coulée en reptation avec formation de bourlets tout le long du parcours de l'avalanche.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6319","17/02/06
00:00","06/03/06
00:00","","2050","1750","","","500","50","1.0","8","3","9","2","2","9","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 06/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Il s'agit d'une coulée ancienne, recouverte par la dernière chute de neige du WE. Mon intérimaire a effectué une tournée de surveillance le 23/02, mais il se peut qu'il ne se soit pas
aperçu de cette coulée, car j'ai questionné le gérant du gîte de la Draye, qui pense qu'elle date de quinze jours ? Malgré cette imprécision j'ai tenu à faire cet avis car l'altitude de départ et
d'arrivée sont très basses.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6319","23/04/04
00:00","26/04/04
00:00","","2200","1950","","","80","15","0.800
0000
12","4","3","2","2","2","2","0","","er","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
