"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°005
id 6235","07/03/09
00:00","10/03/09
00:00","2100","1720","","X","50","8","0.800
0000
12","4","3","2","2","2","2","21-50","","","","X","","","","X","","","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 10/03/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Redoux du week-end précédent qui a fait fondre la couche de neige tombée la semaine d'avant (30cm). Cette neige en versant sud est partie car trop chaude.Visibilité incomplète
ce jour car jour blanc sur le haut du couloir. Distance parcourue sur le plat :","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 6235","16/02/09
00:00","19/02/09
00:00","2050","1750","","X","50","10","0.800
0000
12","4","2","9","2","2","9","0","X","N","","","","","X","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : F9 dépôt de blocs. C'est en versant sud et les températures montent en fin de journée. Distance parcourue sur le plat : inconnue.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 6235","07/03/06
00:00","07/04/06
00:00","2300","1780","","X","300","15","1.0","4","3","2","2","2","2","21-50","","","X","X","?","?","?","?","?","?","","","","X","X","","","X","","","","","","B","N"
"Date du constat : 07/04/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Coulée de neige humide suite à 1 à 2 semaines de redoux.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 6235","01/01/06
00:00","14/02/06
00:00","2300","1870","","X","80","12","1.0","8","4","9","2","9","1","21-50","X","","","","?","?","?","?","?","?","","","","X","X","","","X","","","","","","B","N"
"Date du constat : 14/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Les informations sont sûres. Je les ai constatées il y a 3 semaines mais devais retourner sur le terrain pour plus de précisions. C'est une plaque à vent qui s'est décrochée car il y
avait des blocs de neige en bas et une cassure linéaire en haut.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 487","10/03/31
00:00","10/03/31
00:00","2800","1600","","","","","","9","4","9","9","2","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
