"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Date du constat : 21/04/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 569","17/03/05
00:00","22/03/05
00:00","2000","1350","","","100","4","1.5","4","3","2","2","2","2","0","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 22/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Terre et neige mélées.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 569","05/12/03
00:00","06/12/03
00:00","1950","1500","X","X","30","20","5.0","1","3","5","5","2","5","0","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","er","er"
"n°020
id 569","21/02/02
00:00","21/02/02
00:00","1950","1850","","","","","","5","4","2","2","2","2","21-50","","","","","","","X","","X","","X","","","","X","","","X","","","","","","",""
"n°020
id 569","12/03/01
00:00","12/03/01
00:00","2500","1850","","","","","","2","2","2","2","2","2","21-50","X","S","X","X","","X","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Couloir très fréquenté par les skieurs. Itinéraire hors piste desservit par le téléphérique des glaciers de la neige (nom incertain car mal écrit).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 569","26/11/00
00:00","27/11/00
00:00","1950","1400","","","","","","1","4","5","2","2
5","","1-20","X","S","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°020
id 569","19/02/00
00:00","19/02/00
00:00","2000","1400","","","","","","1","2","1","2","2
1","","21-50","X","N","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°020
id 569","22/02/99
00:00","23/02/99
00:00","1950","1380","","","","","","1","2","2","2","2
5","","21-50","X","N","X","X","","","X","","","","X","","","","X","","","","","","X","","","",""
"n°020
id 569","20/01/98
00:00","20/01/98
00:00","2000","1400","","","","","","2","2","1","2","1
1","","51-
100","X","N","","","","","X","","","","X","","","","X","","","X","","","","","","",""
"n°020
id 569","07/01/94
00:00","07/01/94
00:00","2500","","","","","","","2","2","5","2","2
2","","51-
100","X","SO","X","","X","X","","","","","X","","","","X","","","","","","X","X","X","",""
"n°020
id 569","21/12/91
00:00","22/12/91
00:00","1950","1350","","","","","","5","2","2","2","2
5","","51-
100","X","N","","","","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°020
id 569","07/03/91
00:00","07/03/91
00:00","1950","1350","","","","","","2","4","2","5","2
2","","1-20","X","S","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","",""
"n°020
id 569","14/02/90
00:00","14/02/90
00:00","1950","1400","","","","","","2","2","2","2","2
2","","51-
100","X","O","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°020
id 569","30/01/88
00:00","30/01/88
00:00","1850","1350","","","","","","2","2","2","2","2
2","","1-20","X","SO","","X","","","X","","","","X","","","","X","","","X","","","","","","",""
"n°020
id 569","16/03/74
00:00","16/03/74
00:00","2500","1500","","","","","","1","4","2","2","2
2","","0","","","","X","","X","","","","","","","","","X","","","X","","","","","","",""
"n°020
id 569","04/03/72
00:00","04/03/72
00:00","2500","1600","","","","","","1","1","9","9","9
2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 04/03/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
