"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 19/08/2003 :
Site 05087 004 (id 712) --> site 05087 004 (id 6245)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 6245","10/03/17
12:00","11/03/17
12:00","","2100","1400","","","550","50","4.0","4","5","2","2","2","2","21-50","X","N","X","","","","X","X","","","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 24/03/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : problèmes d'habilitations sur l'extanet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 6245","19/03/10
00:00","22/03/10
00:00","","2500","1400","","","300","20","2.0","4","4","2","2","2","2","1-20","","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 6245","17/03/06
00:00","22/03/06
00:00","","2100","1500","","","100","30","2.0","4","2","2","2","2","2","21-50","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 27/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 6245","03/03/06
00:00","10/03/06
00:00","","2100","1400","","","500","50","4.0","8","2","2","2","5","1","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 12/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 712","04/03/03
00:00","04/03/03
00:00","","2300","1670","","","","","","4","2","2","2","2","2","1-20","","er","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 712","03/03/00
00:00","03/03/00
00:00","","2400","1450","","","","","","4","2","2","2","2","5","21-50","X","NO","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°004
id 712","01/09/98
00:00","02/03/99
00:00","","2200","1900","","","","","","2","2","5","2","5","5","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"Remarque : Avalanche observée le 02/03/99.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 712","01/09/98
00:00","17/02/99
00:00","","2100","1500","","","","","","4","2","1","2","1","1","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"Remarque : Avalanche observée le 17/02 a eu lieu quelques jours avant.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 712","20/02/91
00:00","20/02/91
00:00","","2100","1900","","","","","","2","3","2","1","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 712","03/05/78
00:00","08/05/78
00:00","","1750","1450","","","","","","4","3","2","2","9","2","er","","","X","","","","X","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 712","26/02/61
00:00","26/02/61
00:00","","","","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
