"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Date du constat : 27/02/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt zone plane disons plutôt moins pentue. F2 on dirait de la neige mouillée cela fait des boules. La coulée a été recouverte de 15 à 20 cm de neige fraiche durant le week end
du 25 et 26/02/07. Je pense qu'elle est partie juste après la coulée précédente (n°d'ordre d'expédition n°1)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6254","11/02/07
00:00","12/02/07
00:00","","1770","","X","60","10","3.0","8","2","2","2","2","1","21-50","X","NO","","","X","X","","","","","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 13/02/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6254","03/03/06
00:00","05/03/06
00:00","","1720","","X","250","35","6.0","8","2","1","2","1","9","?","?","","?","?","X","","X","","","","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 06/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6254","16/02/06
00:00","21/02/06
00:00","","1810","","X","50","10","3.0","8","2","1","2","2","1","1-20","X","NE","","","X","","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6254","13/01/04
00:00","13/01/04
00:00","","1740","X","X","","","","2","2","2","2","2","2","21-50","","er","X","X","X","X","","","X","X","X","","","","X","","","X","","","","","","er","er"
"Remarque : Avalanche de plaque au départ suite à une chute de neige puis redoux et pluie. Cassure au départ pas très importante et dépôt pas très important.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6254","13/01/04
00:00","13/01/04
00:00","","1880","X","X","","","","2","2","2","2","2","2","21-50","","er","X","X","X","X","","","X","X","X","","","","X","","","X","","","","","","er","er"
"Remarque : Avalanche de plaque au départ suite à une chute de neige puis redoux et pluie. Cassure pas très importante et dépôt pas très important.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6254","31/10/03
00:00","31/10/03
00:00","","1870","X","X","","","","2","5","5","2","2","2","51-
100","","er","X","","X","X","","","","","X","","","","X","","","X","","","","","","er","er"
"Remarque : Importantes chutes de neige tout au long de la semaine du 27/10 au 31/10/2003. Avalanche de plaque due à la surcharge du manteau neigeux, mais qui se transforme en
avalanche de fond de neige humide et lourde.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 6254","31/10/03
00:00","31/10/03
00:00","","1730","X","X","","","","2","5","5","2","2","2","51-
100","","er","X","","X","X","","","","","X","","","","X","","","X","","","","","","er","er"
"Remarque : Importantes chutes de neige tout au long de la semaine du 27/10 au 31/10/2003. Avalanche de plaque due à la surcharge du manteau neigeux, mais qui se transforme en
avalanche de fond de neige humide et lourde.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 869","23/01/03
00:00","23/01/03
00:00","2450","1900","","","","","","4","2","1","2","1","1","21-50","X","er","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Couloir oragraphique droit.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 869","23/01/03
00:00","23/01/03
00:00","2550","1800","","","","","","4","2","1","2","1","1","21-50","","er","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Couloir oragraphique gauche.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 869","03/03/01
00:00","04/03/01
00:00","2200","1810","","","","","","9","2","2","2","2","2","21-50","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Dans la zone terminale, l'avalanche a emprunté le chemin (carrossable aux 4*4 en été) qui mène au lac Sainte Marguerite et fréquenté par de nombreux touristes (même en hiver).
Autres remarques écrites en haut de l'avis : couloir droit orographique.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
