"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 07/08/2003 :
Site 05098 001 (id 863) --> site 05098 001 (id 6248)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 6248","05/02/17
07:00","05/02/17
07:01","","2750","2220","","X","100","40","1.0","8","2","1","2","2","1","21-50","X","NE","X","?","X","X","X","","X","X","","","X","","X","","","","","","X","","","B","N"
"Date du constat : 14/02/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6248","27/01/15
00:00","28/01/15
00:00","","2600","2350","","X","500","100","2.5","8","3","1","1","9","1","0","X","NO","?","?","?","?","X","X","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 30/01/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Coulée découverte à l'ouverture des pistes à 9h, partie naturellement et arrivant sur la piste bleue des crêtes; sur un secteur purgé régulièrement par Catex . Le service des pistes
à déclenché le secours en montagne pour s'assurer que la coulée n'avait pas été déclenchée par un skieur qui aurait pu se trouver enseveli .La recherche a été infructueuse donc RAS !!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6248","15/04/13
00:00","15/04/13
00:00","","2400","2150","","X","150","30","2.0","8","4","2","1","2","2","0","","","","","","","","X","","","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 16/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Coulée déclenchée par le service des pistes de la Station de ski des ORRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6248","24/04/12
00:00","25/04/12
00:00","","2550","2160","","X","200","80","1.0","8","2","2","1","2","2","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 27/04/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Coulée de neige suite à la chute de neige lourde et humide du 23-04-12 au soir jusqu'au 24-04-12 au soir ( 50 cm à 100 cm à 2500 m ) accumulée à une chute de neige
equivalente la semaine avant.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6248","04/04/11
00:00","08/04/11
00:00","","2550","2250","","X","40","8","2.0","8","3","2","1","2","2","0","","","X","","","","","X","","","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 08/04/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Coulée déclenchée par le service des pistes de la station de ski des ORRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6248","06/12/10
00:00","06/12/10
00:00","","2750","2140","","X","250","30","5.0","8","2","2","1","2","2","51-
100","","","X","","","X","","","X","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : L'avalanche est venue jusqu'au dernier tas freineur sur les 5 qui protègent la piste et le teleski des bergeries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 6248","24/01/09
00:00","24/01/09
00:00","","2550","2210","","","80","40","1.0","8
2","","1","1","2","1","51-
100","?","","?","?","","","","X","","","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 27/01/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
