"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 950","14/02/90
00:00","14/02/90
00:00","1920","1450","","","","","","9","9","9","2","9","9","51-
100","","","X","","","X","","","","","","","","","X","","","","","","X","","","",""
"Remarque : Heure notée : 8h et 11h.  Des plantations de mélèzes de 1987 ont du être endommagées par les coulées de neige.  La D41 a été coupée pendant quelques heures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","14/02/90
00:00","14/02/90
00:00","1920","1450","","","","","","9","9","9","2","9","9","51-
100","","","X","","","X","","","","","","","","","X","","","","","","X","","","",""
"Remarque : Heure notée : 8h et 11h.  Des plantations de mélèzes de 1987 ont du être endommagées par les coulées de neige.  La D41 a été coupée pendant quelques heures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","26/02/78
00:00","26/02/78
00:00","1750","1450","","","","","","2","3","2","2","5","2","er","","","X","","","X","","","X","","X","","","","X","","","","","X","","X","","",""
"Remarque : Route de Réallon aux Gourniers occupée. 3 poteaux.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","21/02/78
00:00","21/02/78
00:00","1750","1450","","","","","","2","3","2","2","5","2","51-
100","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 950","22/01/66
00:00","22/01/66
00:00","1700","1500","","","","","","9","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 24/01/2066.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","29/01/60
00:00","29/01/60
00:00","2200","1450","","","","","","9","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 02/02/2060.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","15/02/58
00:00","15/02/58
00:00","2000","1500","","","","","","9","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 18/02/2058.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","17/02/57
00:00","17/02/57
00:00","2200","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","14/12/55
00:00","14/12/55
00:00","2000","1500","","","","","","9","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","24/11/53
00:00","25/11/53
00:00","2300","1200","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","22/02/52
00:00","22/02/52
00:00","2300","1200","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 950","24/02/51
00:00","24/02/51
00:00","2300","1200","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
