"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 03/08/2004 :
Site 05157 014 (id 1136) --> site 05157 014 (id 8569)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°014
id 1136","02/05/00
00:00","02/05/00
00:00","","2650","2250","","","","","","2","2","2","2","2","2","er","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°014
id 1136","22/04/00
00:00","22/04/00
00:00","","2520","2200","","","","","","2","5","2","5","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°014
id 1136","08/05/99
00:00","08/05/99
00:00","","2500","2000","","","","","","2","5","2","2","2","2","er","","","","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche de printemps suite à un redoux avec forte pluie lors du déclenchement limite pluie neige à 2300 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1136","30/04/93
00:00","30/04/93
00:00","","2700","1950","","","","","","2","2","2","5","2","2",">100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Météo : pluie neige ( ~ limite 1800m) durant une semaine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1136","15/02/88
00:00","15/02/88
00:00","","2650","2300","","","","","","2","4","1","1","2","1","21-50","X","S","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Plaques à vent. Orientation N.W.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1136","18/05/70
00:00","18/05/70
00:00","","2600","2000","","","","","","9","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 20/05/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1136","13/05/69
00:00","13/05/69
00:00","","2600","2000","","","","","","9","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 15/05/2069.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1136","11/12/63
00:00","11/12/63
00:00","","2600","1800","","","","","","9","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
