"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 1323","06/01/94
00:00","07/01/94
00:00","2100","1560","","","","","","4","2","2","2","2","2",">100","X","NE","","","X","","X","","","X","X","","","","X","","","","X","","","X","","",""
"Remarque : CD97 coupée.  Ouvrage pare-avalanche probablement détruit partiellement.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 1323","03/04/93
00:00","03/04/93
00:00","2000","1600","","","","","","4","2","2","2","2","2",">100","X","NE","","","X","","","","","X","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","31/03/92
00:00","31/03/92
00:00","2100","1650","","","","","","4","2","1","2","1","1","51-
100","","","","","X","","","","","X","","","X","","X","","","X","","","","","","",""
"Remarque : C.A.T.E.X.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 1323","26/03/91
00:00","26/03/91
00:00","2100","1700","","","","","","4","2","2","2","2","2","21-50","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","09/12/90
00:00","09/12/90
00:00","2100","1600","","","","","","4","2","1","2","1","1","51-
100","","","","","X","","","","","X","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","14/04/89
00:00","14/04/89
00:00","2000","1600","","","","","","4","2","2","2","2","2","51-
100","X","NE","X","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","07/04/88
00:00","08/04/88
00:00","2100","1750","","","","","","4","2","2","2","2","2","1-20","X","NE","X","","X","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","17/01/88
00:00","17/01/88
00:00","2100","1700","","","","","","4","2","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","11/02/87
00:00","11/02/87
00:00","2100","1600","","","","","","4","2","2","2","2","2","51-
100","","","","","X","","","","X","X","","","X","","X","","","X","","","","","","",""
"Remarque : Tir d'avalancheur.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 1323","28/04/86
00:00","28/04/86
00:00","2100","1650","","","","","","4","2","2","2","2","2","21-50","","","X","X","X","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","20/02/86
00:00","20/02/86
00:00","2100","1650","","","","","","4","2","2","2","2","2","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","30/01/86
00:00","31/01/86
00:00","2000","1650","","","","","","4","2","1","2","1","1",">100","X","NE","","","X","","X","","","X","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","09/01/86
00:00","09/01/86
00:00","2100","1600","","","","","","4","2","1","2","1","1","21-50","X","NE","","X","","","X","","","X","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","02/03/85
00:00","02/03/85
00:00","2100","1600","","","","","","4","2","2","2","2","2","51-
100","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","03/04/84
00:00","03/04/84
00:00","2100","1600","","","","","","2","2","2","2","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","02/03/84
00:00","02/03/84
00:00","2100","1650","","","","","","4","2","2","2","2","2","21-50","X","NE","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1323","26/02/84
00:00","26/02/84
00:00","2100","1560","","","","","","4","2","1","2","1","1","21-50","X","NE","","","X","","X","","","","","","X","","X","","","","","","","","X","",""
