"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 10584","19/01/13
00:00","03/02/13
00:00","A ?
B ?
C ?","1540","","","150","30","1.5","9","5","2","5","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","","BS","N"
"Date du constat : 04/02/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 10584","27/11/12
00:00","11/01/13
00:00","A ?
B ?
C ?","1550","","","80","80","1.5","9","9","9","5","9","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","","BS","N"
"Date du constat : 16/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Obs perso le 11/1/13, attente éventuelle obs antérieure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 10584","01/12/10
00:00","23/03/11
00:00","A ?
B ?","1550","","","80","25","1.0","9","2","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","","BS","N"
"Date du constat : 23/03/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Route fermée à la circulation
Dépôt en ""boulettes""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 10584","30/12/09
00:00","17/04/10
00:00","A ?
B ?
C ?","1560","","","","","","9","9","9","9","9","9","21-50","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 27/04/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : dépôt branche A longueur 80m largeur 70m hauteur 1.5mdépôt branche B longueur 60 m largeur 10m hauteur 1.5mdépôt branche C longueur 60m largeur 10m hauteur 0.5m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 10584","15/12/08
00:00","30/12/08
00:00","","1530","","","120","50","2.0","9","9","9","2","2","2","?","","","","X","?","?","?","?","?","?","X","","","","X","","","","","","","X","","I","N"
"Date du constat : 30/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Branche C: arrivée sur route. Branches A et B: arrivée Tinée (dépôt de 100m de long sur route épaisseur 2m). ALTITUDES: - A = ? - 1530m - B = ? - 1530m - C = ? - 1550m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 10584","01/01/08
00:00","14/04/08
00:00","","1550","","X","100","30","3.0","9","1","9","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","X","BS","N"
"Date du constat : 23/04/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Branche A: arrivée dans la Tinée (dépôt ci-dessus). Arrivée 1550m Branche B: coulée. Branche C: arrivée sur la route (dépôt: 20*5*1,5). Alti arrivée: 1580.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 10584","01/02/06
00:00","02/04/06
00:00","?","1550","","X","4","20","1.0","9","4","9","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 02/04/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt fortement réduit par la fonte. (sur avis, détail de départ des branches : A =? arrivée 1550m,  B =? arrivée 1550m, C = 0)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 1368","01/09/03
00:00","06/04/04
00:00","","1540","","","","","","0","0","2","2","2","2","er","","er","","","","","","","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 06/04/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
