"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : La présence d'un autre événement, compris dans la même enveloppe de la CLPA, parallèle à l'événement décrit ci-dessus, a donné les volumes de neige suivants :
L=40m;l=100m;h=0.5m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 10639","06/01/11
00:00","09/01/11
00:00","2060","1720","","","70","50","0.400
0000
06","4","5","2","1","2","2","?","X","SO","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 12/01/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 10639","07/12/10
00:00","28/12/10
00:00","2000","1700","","","100","70","0.5","4","5","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 28/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 10639","05/12/10
00:00","07/12/10
00:00","1990","1760","","","60","90","0.800
0000
12","4","5","2","5","2","2","1-20","X","SO","X","X","","X","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 10639","22/11/10
00:00","24/11/10
00:00","?","1730","","","50","15","0.200
0000
03","9","2","1","2","2","1","21-50","X","","","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 30/11/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 10639","18/03/10
00:00","23/03/10
00:00","2370","1730","","","60","100","0.300
0000
12","4","3","2","5","2","2","0","","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : altitude départ branche rive droite 2250m, branche rive gauche 2370maltitude arrivée branche rive gauche 1740m, branche rive droite 1730m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 10639","03/03/10
00:00","05/03/10
00:00","2397","1770","","","60","20","0.5","8","5","2","2","2","2","21-50","X","N","X","?","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 05/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 10639","18/02/10
00:00","18/02/10
00:00","2400","1800","","","30","15","1.0","9","9","9","2","2","2","51-
100","","","X","","","","","","X","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 18/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 10639","17/02/10
00:00","18/02/10
00:00","2400","1700","","","50","30","2.0","9","9","9","2","2","2","51-
100","","","X","","X","","","","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 18/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 10639","07/01/10
00:00","12/01/10
00:00","1850","1750","","","60","30","0.800
0000
12","9","2","1","2","2","1","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 12/01/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : fortes précipitations nuit du 7-8 janvier et journée du 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
