"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2005-2006.
Filiations entre les sites définies lors du toilettage du 28/06/2005 :
Site 06127 045 (id 1438) --> site 06127 045 (id 10911)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°045
id 1438","07/01/94
00:00","07/01/94
00:00","","1950","1500","","","","","","2","4","2","2","2","2",">100","","","","","","","","","","X","X","","","","X","","","","","","","X","","",""
"n°045
id 1438","05/04/78
00:00","05/04/78
00:00","","","1550","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°045
id 1438","01/02/74
00:00","11/02/74
00:00","","","1550","","","","","","9","9","9","2","9","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°045
id 1438","01/02/72
00:00","29/02/72
00:00","","","1500","","","","","","9","9","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°045
id 1438","01/09/71
00:00","21/03/72
00:00","","","1550","","","","","","9","9","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"Date du constat : 04/04/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°045
id 1438","13/12/57
00:00","13/12/57
00:00","","1900","1500","","","","","","4","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
