"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 23/06/2005 :
Site 06156 005 (id 1493) --> site 06156 005 (id 10785)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°005
id 10785","16/02/14
00:00","18/02/14
00:00","","B 1980","1310","","","100","10","2.5","8","4","9","2","2","9","?","?","","X","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 19/02/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Zone de départ plus importante que lors de l'exp n°7, zone de dépot partiellement visible","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 10785","12/02/14
00:00","13/02/14
00:00","","B 1970","1310","","","120","12","2.5","8","4","9","2","2","9","21-50","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 14/02/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Observation jumelle depuis pic de la Colmiane. vision partielle du dépot, mélange (neige et terre).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 10785","06/02/09
00:00","06/02/09
00:00","","","1100","","","350","75","20.0","8","2","2","5","2","2","51-
100","","","","X","X","","","","","","X","","","","X","","","","","","","X","X","B","O"
"Date du constat : 08/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Fort épisode de mauvais temps depuis la nuit du 4 au 5 février 2009 avec limite pluie neige variant entre 1200 et 1800m. 105mm de pluie relevée à St-Martin-Vésubie donc à
1000m. Arrivée au confluent du Ravin du RIOU et le petit l'ouest sous Rigous.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 10785","15/01/09
00:00","19/01/09
00:00","","","1250","","","30","10","8.0","4","4","2","5","2","2","0","X","NE","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/01/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 10785","14/12/08
00:00","15/12/08
00:00","","","1160","","","350","55","15.0","8","5","2","5","2","2","51-
100","X","N","X","X","X","","","","","","X","","","","X","","","","","","X","X","","I","O"
"Date du constat : 15/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Période de mauvais temps depuis le 09/12/2008 en soirée avec de fortes précipitations avec limite pluie neige variant entre 1000m et 1500m. Du 13 au 15/12 80mm d'eau mesurée
à St-Martin-Vésubie. Avalanche coupe la route et s'arrête au vallon.ALTITUDES:A 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 10785","11/03/08
00:00","12/03/08
00:00","","","1300","","","15","10","2.0","4","2","2","5","2","2","21-50","X","NE","","X","","","X","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 12/03/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Chute de neige dans la journée du 10 Mars 2008 30cm à 1500m, puis forte Lombarde et redoux. ALTI ARRIVEE branche B: 1300.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 1493","20/02/98
00:00","20/02/98
00:00","","1850","1400","","","","","","2","4","2","5","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 1493","01/04/86
00:00","30/04/86
00:00","","1900","1150","","","","","","5","4","2","2","2","2","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","","","","X","X","","",""
