"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°025
id 7837","22/01/10
00:00","01/02/10
00:00","?","1230","","","100","20","2.0","9","9","9","9","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","","X","B","N"
"Date du constat : 01/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°025
id 7837","29/01/09
00:00","04/02/09
00:00","?","1230","","","200","50","5.0","9","9","9","2","2","2","?","","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 06/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA n°15 observation intermittente. Limite seuil d'alerte.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°025
id 7837","21/03/08
00:00","11/04/08
00:00","?","1230","","","50","20","2.0","9","9","9","2","2","2","er","?","","?","?","?","?","?","?","?","?","","","","X","X","","","X","","","","","","B","er"
"Date du constat : 09/05/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA n°15.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°025
id 7837","15/03/05
00:00","13/04/05
00:00","?","1230","","","50","25","1.5","9","9","9","9","2","2","?","?","","?","?","?","?","?","?","?","?","","","","X","X","","","","","","","","X","BS","er"
"Date du constat : 15/04/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA n°15. Observation intermitente.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°025
id 1608","05/03/04
00:00","12/03/04
00:00","?","1200","","","200","100","1.5","9","9","9","2","2","9","er","?","er","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 12/03/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA N°13.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°025
id 1608","11/02/94
00:00","11/02/94
00:00","2400","1200","","","","","","2","2","2","2","2","2",">100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°025
id 1608","27/03/92
00:00","27/03/92
00:00","2400","1150","","","","","","4","4","2","2","2","2","21-50","","","X","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Traverse le cours d'eau du Vicdesses.  Traverse la route de Soulcem.  Remonte sur 5m dans le versant en face.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°025
id 1608","17/03/88
00:00","17/03/88
00:00","2000","1180","","","","","","4","4","2","2","2","2","er","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°025
id 1608","08/03/88
00:00","09/03/88
00:00","2000","1150","","","","","","5","1","5","2","2","5","21-50","","","X","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Arrivant à la route.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°025
id 1608","07/04/86
00:00","07/04/86
00:00","2000","1200","","","","","","4","2","5","2","2","2","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°025
id 1608","31/01/86
00:00","31/01/86
00:00","2100","1180","","","20","","4.0","4","2","1","2","1","1","51-
100","","","","","X","","","","","","X","","","","X","","","","","","","X","X","",""
"Remarque : Départ sur la route.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
