"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2004-2005.
Filiations entre les sites définies lors du toilettage du 01/07/2004 :
Site 09030 007 (id 1595) --> site 09030 007 (id 7824)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°007
id 1595","01/02/03
00:00","15/02/03
00:00","","1700","1050","","","","","","5","5","5","2","2","2","er","","er","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Début février.  Arrive au ruisseau, longe la clôture du périmètre immédiat de la source de la Prime des eaux du Montcalm.  Petit dégât de noisetier et bouleau, embâcle sur la
rivière qui vient d""""être nettoyée.  Cadavre sanglier.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1595","08/03/88
00:00","10/03/88
00:00","","1700","1100","","","","","","5","1","5","2","2","5","21-50","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1595","05/02/86
00:00","05/02/86
00:00","","1900","1150","","","","","","5","2","5","2","5","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1595","01/04/85
00:00","02/04/85
00:00","","1700","1100","","","","","","5","5","5","2","2","2","0","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1595","12/03/85
00:00","13/03/85
00:00","","1700","1200","","","","","","2","2","5","2","2","5","1-20","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1595","24/04/75
00:00","24/04/75
00:00","","","1100","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1595","03/01/68
00:00","04/01/68
00:00","","1600","1100","","","","","","4","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 05/01/2068.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dans la nuit du 3 au 4/1/68.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
