"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : GR10 traversé par la coulée","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 7691","16/12/08
00:00","26/12/08
00:00","1250","1080","","","50","100","0.300
0000
12","4","1","2","1","2","2","?","","","","","?","?","?","?","?","?","X","","","","X","","","er","er","er","er","er","er","B","N"
"Date du constat : 12/01/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : GRIO traversé par la coulée. Prise d'eau recouverte. Avalanche regroupant les couloirs 2 et 3.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 7691","22/03/08
00:00","25/03/08
00:00","1120","1060","","","20","8","0.400
0000
06","4","4","2","2","2","2","1-20","","","X","","X","X","","","","","","","","X","X","","","X","","","","","","B","N"
"Date du constat : 27/03/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : GR10 traversé par la coulée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 7691","23/03/07
00:00","30/03/07
00:00","1120","1060","","","25","10","0.800
0000
12","4","4","2","2","2","2","1-20","","","X","","X","X","","","","","","","","X","X","","","X","","","","","","B","N"
"Date du constat : 30/03/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : GR10 traversé par la coulée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 7691","07/03/06
00:00","08/03/06
00:00","1120","1060","","","100","15","0.300
0000
12","4","1","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 08/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : GR recouvert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 7691","11/03/05
00:00","18/03/05
00:00","1120","1060","","","100","50","0.5","4","4","2","1","2","2","51-
100","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 18/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dégâts sur le sentier (GR). Arrivée bordure du lac de Bethinale.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 1622","27/03/04
00:00","29/03/04
00:00","1120","1060","","","50","20","0.800
0000
12","4","4","2","2","2","2","21-50","","er","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 29/03/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Plusieurs petits couloirs (3) sont purgés sur de courtes distances avec une zone d'arrivée très éloignée des rives du lac.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 1622","01/04/76
00:00","30/04/76
00:00","1350","1100","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 1622","01/04/75
00:00","30/04/75
00:00","1350","1100","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 1622","01/03/74
00:00","31/03/74
00:00","1350","1100","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
