"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2004-2005.
Filiations entre les sites définies lors du toilettage du 04/06/2004 :
Site 09059 007 (id 1634) --> site 09059 007 (id 7652)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°007
id 1634","08/01/04
00:00","08/01/04
00:00","","1800","1300","X","X","","","","2","4","2","1","2","5","0","","er","","","","","","X","","","X","","","","X","","","X","","","","","","er","er"
"Remarque : Dépôt dans le ruisseau d'Orle et sur le GR10.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1634","01/01/03
00:00","31/01/03
00:00","","2200","1350","","","","","","5","5","5","1","5","5","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : S""""arrête dans le torrent d""""Orle.  Accumulation de neige jusqu""""en juillet au niveau du sentier du port d""""Orle.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1634","20/02/02
00:00","20/02/02
00:00","","2000","1300","","","","","","5","2","5","1","5","5","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1634","01/09/01
00:00","31/08/02
00:00","","2100","1350","","","","","","5","2","2","2","2","5","51-
100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°007
id 1634","05/03/01
00:00","05/03/01
00:00","","2200","1350","","","","","","2","4","2","5","2","2","er","X
er","","","X","","","","X","X","","X","","","","X","","","X","","","","","","",""
"Remarque : L'avalanche a traversé la rivière Orle (nom incertain car mal écrit), elle est remontée sur le versant opposé. Il est arrivé (nom incertain car mal écrit) qu'à cet endroit la vallée est
carrément (nom incertain car mal écrit) encaissée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1634","16/02/86
00:00","16/02/86
00:00","","2000","1350","","","","","","4","2","2","5","2","5","er","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 1634","15/05/85
00:00","15/05/85
00:00","","2000","1350","","","","","","4","4","2","1","2","5","21-50","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Le déclenchement s'est produit après des pluies orageuses. L'avalanche a coupé le chemin d'accès au pont d'Arle ainsi que le ruisseau d'Arle.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1634","01/09/72
00:00","31/08/73
00:00","","","","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
