"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 23/04/2004 :
Site 09189 014 (id 1731) --> site 09189 014 (id 7658)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°014
id 7658","27/01/17
08:00","27/01/17
14:00","","1650","1220","","","25","10","1.0","8","4","1","2","2","1","1-20","?","","?","?","?","?","?","X","?","?","","X","","","X","","","X","","","","","","B","N"
"Date du constat : 30/01/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : déclenchement après passage d'un groupe de skieurs en randonnée venant de la station d'Ax (comm. pers. G. Tourrent)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 7658","25/02/15
00:00","26/02/15
00:00","","1550
1100","","","","30","20","2.0","8","4","2","2","2","2","1-20","X","NO","","","","X","","","X","?","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 26/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : caractéristiques zone de départ complétées le 2/3/2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 7658","24/01/14
00:00","25/01/14
00:00","","1750","1100","","","80","50","3.0","8","4","2","5","2","2","21-50","X","NO","?","?","?","X","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 25/01/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 7658","21/11/13
00:00","22/11/13
00:00","","?","1200","","","","","","4","2","1","2","9","1","51-
100","X","NO","","","X","","X","","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 22/11/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 7658","19/02/13
00:00","21/02/13
00:00","","1500","1300","","","50","20","3.0","4","4","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/02/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Kaczmar intérim castel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 7658","18/01/13
00:00","19/01/13
00:00","","1700","1250","","","30","30","1.5","9","9","9","2","2","2","21-50","X","NO","","","X","","X","","X","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 21/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 7658","12/03/05
00:00","13/03/05
00:00","","1640","1330","","","80","10","3.0","8","4","2","2","2","1","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 14/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1731","27/02/96
00:00","27/02/96
00:00","","1950","1650","","","","","","3","3","1","5","5","5","1-20","","","","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°014
id 1731","10/01/95
00:00","10/01/95
00:00","","1780","1360","","","","","","2","2","2","2","2","2","21-50","X","er","X","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
