"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 08/03/2004 :
Site 31081 003 (id 1859) --> site 31081 003 (id 7534)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°003
id 7534","19/01/17
11:00","27/01/17
14:00","","1650","1420","","","15","8","0.300
0000
12","8","4","2","2","2","2","0","","","","","?","?","?","?","?","?","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 27/01/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7534","17/01/17
10:00","19/01/17
10:45","","1620","1370","","","80","15","0.300
0000
12","8","4","2","2","2","2","51-
100","X","NO","","","?","?","?","?","?","?","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 26/01/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7534","24/02/15
00:00","27/02/15
00:00","","1540","1400","","","40","20","0.800
0000
12","8","4","2","2","2","2","51-
100","X","NO","X","X","?","X","?","?","?","?","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 03/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7534","06/02/15
00:00","10/02/15
00:00","","1520","1350","","","160","30","0.699
9999
88","8","4","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 10/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7534","30/01/15
00:00","02/02/15
00:00","","1580","1380","","","","","","8","4","2","2","2","2",">100","X","NO","","","X","","X","","X","X","X","","","","X","","","","","","","X","","I","N"
"Date du constat : 02/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Zone de dépôt recouvert donc pas quantifiable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7534","26/11/13
00:00","28/11/13
00:00","","1600","1450","","","40","20","1.0","8","4","2","2","2","2","0","?","","","?","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 28/11/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7534","21/11/13
00:00","25/11/13
00:00","","1600","1380","","","150","20","1.0","8","4","2","2","2","2","51-
100","","","?","","?","?","?","?","?","?","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 25/11/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7534","14/02/13
00:00","14/02/13
00:00","","1620","1390","","","70","30","2.0","8","4","2","2","2","2","21-50","X","NO","?","X","","X","","","X","","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 14/02/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
