"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Dépôt resté dans le couloir. Difficile à estimer. Redoux.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7470","14/03/05
00:00","14/03/05
00:00","1800","1520","","","60","8","1.5","8","4","2","2","2","9","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 14/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Limite arrivée de la zone d'alerte.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","10/02/03
00:00","10/02/03
00:00","1750","1550","","","50","30","0.200
0000
03","3","4","5","2","2","5","21-50","","er","","X","","","","","X","","","","X","","X","","","X","","","","","","",""
"Remarque : Ne remonte pas sur le versant d'en face.  Déclenchée à l'explosif. Remarque dépôt:L = 50 m, l = 30 m, H = 0,20 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","31/01/88
00:00","31/01/88
00:00","1800","1600","","","","","","2","4","2","2","2","2","1-20","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Coulée de neige très humide.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","05/02/84
00:00","05/02/84
00:00","1800","1550","","","","","","4","4","5","2","2","5","21-50","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1892","13/01/79
00:00","13/01/79
00:00","1900","1700","","","","","","4","4","5","2","2","5","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1892","01/04/76
00:00","01/04/76
00:00","1850","1500","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","01/04/76
00:00","01/04/76
00:00","1800","1450","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","18/03/76
00:00","18/03/76
00:00","1850","1700","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","18/03/76
00:00","18/03/76
00:00","1800","1450","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","03/02/76
00:00","03/02/76
00:00","1850","1700","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","03/02/76
00:00","03/02/76
00:00","1800","1600","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","24/03/75
00:00","24/03/75
00:00","1850","1490","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","24/03/75
00:00","24/03/75
00:00","1800","1450","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","26/10/74
00:00","26/10/74
00:00","1800","1450","","","","","","1","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1892","26/10/74
00:00","26/10/74
00:00","1850","1490","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
