"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a commencé sur ce site à partir de la campagne 2004-2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°201
id 7486","10/03/17
10:00","27/03/17
10:00","","1600","1210","","","40","8","0.300
0000
12","8","4","2","2","2","2","21-50","X","NO","","","","","","X","","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 27/03/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 7486","07/02/17
09:00","08/02/17
09:00","","1700","1150","","","170","10","0.5","8","4","2","2","2","2","21-50","X","NO","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 13/02/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Fortes pluies jusqu'à 2300 m d'altitude les 6 et 7 février","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 7486","29/01/17
10:00","31/01/17
16:00","","1730","1150","","","180","25","0.800
0000
12","8","4","1","2","2","9","0","","","X","","","","","X","X","","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 31/01/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 7486","13/01/17
09:00","19/01/17
15:00","","1750","1170","","","40","30","","9","9","1","2","2","9","1-20","X","NO","X","","","","","X","","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/01/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 7486","29/02/16
14:00","09/03/16
13:30","","1650","1200","","","30","3","0.400
0000
06","8","4","1","2","2","1","1-20","X","NO","","","X","","X","X","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/03/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Averses de neige alternées avec des éclaircies lors du déclenchement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 7486","27/02/15
00:00","09/03/15
00:00","","1800","1170","","","120","50","0.800
0000
12","8","4","2","2","2","2","0","","","X","","","","","X","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 7486","09/02/15
00:00","09/02/15
00:00","","1550","1200","","","50","25","0.400
0000
06","4","5","2","2","2","2","0","","","","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 7486","09/02/15
00:00","13/02/15
00:00","","1850","1200","","","80","35","0.5","8","4","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
