"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 1949","12/12/99
00:00","12/12/99
00:00","1850","1100","","","","","","2","4","5","2","9","5","21-50","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Constatée à 14 h.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1949","20/02/99
00:00","22/02/99
00:00","","800","","","","","","9","9","2","2","2","2","er","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Constatée le 23/02.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1949","28/01/99
00:00","28/01/99
00:00","","1000","","","","","","9","9","9","2","5","5","51-
100","X","S","","","X","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Neige en altitude.  Pluie en vallée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1949","19/01/98
00:00","19/01/98
00:00","2000","1100","","","","","","4","2","2","2","2","2","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","29/11/96
00:00","30/11/96
00:00","2000","850","","","","","","2","4","2","2","2","2","51-
100","X","NO","","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","23/01/95
00:00","23/01/95
00:00","1900","850","","","","","","2","2","2","2","2","2","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","13/01/95
00:00","13/01/95
00:00","1900","850","","","","","","2","2","2","2","1","2","21-50","","","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","03/01/94
00:00","03/01/94
00:00","1800","850","","","","","","2","3","2","2","2","2","er","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","22/12/91
00:00","22/12/91
00:00","1900","850","","","","","","4","2","2","2","2","2",">100","X","NO","","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","16/02/91
00:00","16/02/91
00:00","1900","900","","","","","","4","2","2","2","2","2","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","15/02/90
00:00","15/02/90
00:00","1900","850","","","","","","5","5","5","2","2","2","51-
100","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","18/03/88
00:00","18/03/88
00:00","","","","","","","","1","3","2","2","2","2","0","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","16/02/88
00:00","16/02/88
00:00","1900","850","","","","","","5","4","5","2","2","2","0","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","26/12/86
00:00","27/12/86
00:00","1900","800","","","","","","2","2","2","2","2","2","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","23/02/86
00:00","24/02/86
00:00","1600","800","","","","","","2","3","2","2","2","2","0","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","15/01/86
00:00","15/01/86
00:00","2150","850","","","","","","5","2","2","2","2","2","21-50","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1949","16/02/85
00:00","17/02/85
00:00","900","710","","","","","","1","1","1","2","2","1","0","","","X","","","","","","","X","X","","","","X","","","","","","","X","","",""
