"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 04/02/2005 :
Site 38005 008 (id 1955) --> site 38005 008 (id 9575)
Site 38005 008_A (id 1956) --> site 38005 008 (id 9575)
Site 38005 008_B (id 1957) --> site 38005 008 (id 9575)
Site 38005 008_C (id 1958) --> site 38005 008 (id 9575)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°008_B
id 1957","11/02/05
00:00","14/02/05
00:00","","?","1280","","","","","","5","9","9","2","5","5","51-
100","","er","X","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 17/02/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Estimation du dépôt difficile ; celui ci est très étalé dans la combe.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008_A
id 1956","11/02/05
00:00","14/02/05
00:00","","?","1280","","","","","","5","9","9","2","5","5","51-
100","","er","X","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 17/02/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Estimation du dépôt difficile ; celui ci est très étalé dans la combe.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008_A
id 1956","13/01/04
00:00","13/01/04
00:00","","?","1300","","X","","","","9","9","2","9","2","2","21-50","","er","X","","","X","","","","","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 15/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Zone plane -> piste forestière.  Coupe la piste forestière de Coteyssard.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008_B
id 1957","13/01/04
00:00","13/01/04
00:00","","?","1250","","X","","","","9","9","2","9","2","2","21-50","","er","X","","","X","","","","","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 15/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Zone plane -> piste de Coteyssard qui a été coupée par l'avalanche.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008_A
id 1956","01/04/03
00:00","23/04/03
00:00","","1250","","","","","","","9","9","9","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°008_B
id 1957","01/04/03
00:00","23/04/03
00:00","","1300","","","","","","","9","9","9","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°008_C
id 1958","18/03/01
00:00","18/03/01
00:00","","2600
1300","","","","","","","2","2","2","2","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°008_B
id 1957","22/02/99
00:00","22/02/99
00:00","","2000
1300","","","","","","","2","2","5","2","2","2","51-
100","X","er","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°008_C
id 1958","19/01/98
00:00","19/01/98
00:00","","1000","","","","","","","2","2","5","2","2","5","51-
100","X","er","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Arrivée sur la route de la Combe. Route coupée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
