"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 24/01/2006 :
Site 38163 009 (id 2107) --> site 38163 009 (id 11460)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 11460","14/12/12
00:00","15/12/12
00:00","","2200","1090","","","300","40","2.0","8","3","9","1","9","2","1-20","?","","X","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 21/12/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 11460","04/12/10
00:00","07/12/10
00:00","","2100","1180","","","150","20","3.0","8","1","9","5","9","9","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 2107","31/12/05
00:00","31/12/05
00:00","","1950","1200","","","150","17","","8","1","9","2","9","2","21-50","X","NO","","X","","","","","X","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 05/01/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA 7. Pluie jusqu'à 1800m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 2107","15/03/04
00:00","19/03/04
00:00","","2050","1280","","","60","20","1.5","4","1","9","5","9","9","?","?","er","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/03/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : La couleur marron du dépôt peut laisser penser que ce soit de la neige humide. Il est possible que cette couleur soit due aux vents de Sud très chargés en poussières de fin février.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 2107","11/04/03
00:00","11/04/03
00:00","","1650
1250","","","","","","","4","2","9","2","5","5","21-50","X","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Direction du vent notée : Sud, Sud-Ouest.  CLPA N° 7. Remarque dépôt:Volume estimatif du dépôt : 750 / 1000 m3.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 2107","09/03/01
00:00","09/03/01
00:00","","1950","1200","","","","","","4","1","9","2","9","2","21-50","","","X","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°009
id 2107","08/03/99
00:00","08/03/99
00:00","","1950","1200","","","","","","9","2","5","2","1","1","21-50","","","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Pour ""C""  : la couche superficielle a dù s'humidifier allourdissant le manteau. Aucun dépôt humide visible dans la plage de dépôt.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 2107","08/02/99
00:00","08/02/99
00:00","","2050","1180","","","","","","1","2","1","5","9","1",">100","X","SO","","","X","","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°009
id 2107","29/01/99
00:00","29/01/99
00:00","","1950","1200","","","","","","4","2","2","2","2","2","51-
100","X","SO","","X","X","","X","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 2107","20/04/95
00:00","21/04/95
00:00","","1950","1200","","","","","","5","2","2","2","2","2","1-20","X","SO","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","",""
