"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : 1cm de neige tombée dans la nuit du 22 au 23/02 mais très majoritairement avalanche de neige évoluée (B3).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 11453","11/01/08
00:00","13/01/08
00:00","","1580","","","100","40","","8","2","1","2","9","0","?","","","","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 13/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA n°15.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003_A
id 2100","27/03/06
00:00","02/04/06
00:00","1950","1550","","","130","20","1.0","8","4","2","5","9","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 04/04/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003_B
id 2101","27/03/06
00:00","02/04/06
00:00","2030","1500","","","200","50","1.0","8","4","2","5","9","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 04/04/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003_B
id 2101","22/03/06
00:00","23/03/06
00:00","1920","1550","","","150","20","","8","4","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003_A
id 2100","07/05/04
00:00","11/05/04
00:00","2200","1580","","","200","30","0.5","4","2","9","5","9","2","?","?","er","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 11/05/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA N°8.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003_B
id 2101","20/04/04
00:00","26/04/04
00:00","2100","1550","","","180","15","1.5","4","3","9","2","9","2","?","?","er","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 26/04/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003_A
id 2100","20/04/04
00:00","26/04/04
00:00","2300","1550","","","200","40","1.5","4","3","9","5","9","2","?","?","er","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 26/04/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003_B
id 2101","15/03/04
00:00","19/03/04
00:00","2150","1550","","","100","25","1.0","4","1","9","5","9","9","?","?","er","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/03/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : La couleur marron du dépôt peut laisser penser que ce soit de la neige humide. Il est possible que cette couleur soit due aux vents de Sud très chargés en poussières de fin février.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003_B
id 2101","02/04/03
00:00","07/04/03
00:00","2080
1590","","","","","","","4","2","9","2","9","5","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Pour caractéristique l'avalanche : A = plusieurs points unique.  CLPA N°8. Remarque dépôt:Volume estimatif du dépôt = Plus ou moins 4000 m3.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003_B
id 2101","03/03/03
00:00","10/03/03
00:00","2150","1630","","","100","20","1.0","2","2","1","2","9","1","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
