"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°012
id 2228","22/12/91
00:00","22/12/91
00:00","1500","650","","","","","","4","4","2","2","2","2","21-50","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","18/03/88
00:00","18/03/88
00:00","1500","650","","","","","","2","2","2","2","2","5","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","14/02/88
00:00","14/02/88
00:00","1500","650","","","","","","2","2","2","2","2","2","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","03/02/87
00:00","03/02/87
00:00","1500","700","","","","","","2","3","2","2","2","2","0","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","07/02/84
00:00","08/02/84
00:00","","600","","","","","","9","9","9","2","2","2","1-20","X","er","","X","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","01/02/84
00:00","01/02/84
00:00","","600","","","","","","9","9","9","2","5","5","1-20","","","","X","X","","","","","X","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","20/01/81
00:00","20/01/81
00:00","1900","650","","","","","","9","9","9","2","2","5","51-
100","er","er","er","er","","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","15/01/81
00:00","15/01/81
00:00","1900","650","","","","","","9","9","9","2","5","1","21-50","X","NO","","","","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","04/02/80
00:00","04/02/80
00:00","1900","650","","","","","","9","9","9","2","2","2","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","02/01/80
00:00","02/01/80
00:00","1900","700","","","","","","9","9","1","2","1","1","21-50","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2228","22/02/70
00:00","22/02/70
00:00","1900","600","","","","","","4","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 24/02/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 2228","10/01/68
00:00","15/01/68
00:00","1900","600","","","","","","4","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 30/01/2068.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 2228","23/01/66
00:00","23/01/66
00:00","1800","600","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
