"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 14/01/2005 :
Site 38212 013 (id 2229) --> site 38212 013 (id 9444)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°013
id 2229","10/02/03
00:00","12/02/03
00:00","","1950","700","","","","","","2","4","2","2","2","2","er","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","23/02/99
00:00","23/02/99
00:00","","","700","","","","","","9","9","2","2","2","2","21-50","X","N","X","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","29/11/96
00:00","30/11/96
00:00","","","720","","","","","","9","9","2","2","2","2","51-
100","X","NO","","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","18/03/88
00:00","18/03/88
00:00","","","700","","","","","","2","2","2","2","2","5","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","12/02/84
00:00","12/02/84
00:00","","","700","","","","","","5","1","1","2","5","5","0","X","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","02/02/84
00:00","06/02/84
00:00","","","900","","","","","","9","9","9","2","2","2","er","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","01/02/84
00:00","01/02/84
00:00","","","700","","","","","","9","9","9","2","5","5","1-20","","","","X","X","","","","","X","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","20/01/81
00:00","20/01/81
00:00","","2100","700","","","","","","9","9","9","2","2","5","51-
100","er","er","er","er","","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","17/01/81
00:00","17/01/81
00:00","","2100","700","","","","","","9","9","9","2","5","2","21-50","X","NO","","","X","","","","","X","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","04/02/80
00:00","04/02/80
00:00","","2100","700","","","","","","9","9","9","2","2","2","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","02/01/80
00:00","02/01/80
00:00","","2100","800","","","","","","9","9","1","2","1","1","21-50","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°013
id 2229","10/01/68
00:00","15/01/68
00:00","","1900","650","","","","","","4","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 30/01/2068.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
