"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 2244","06/12/96
00:00","06/12/96
00:00","1700","1300","","","","","","2","4","2","1","2","2","51-
100","X","S","","X","","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Traverse la route forestière du pré Combet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2244","26/02/95
00:00","26/02/95
00:00","1740","1300","","","","","","9","9","9","9","9","9","21-50","X","S","","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Traverse une route forestière sans provoquer de dégâts apparents.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2244","07/01/94
00:00","07/01/94
00:00","1740","1200","","","","","","3","4","2","1","2","2","21-50","X","er","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : L'avalanche traverse la route forestière de Pré Combet mais ne semble pas avoir occasionnée de dégâts importants.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2244","26/01/87
00:00","26/01/87
00:00","1650","1150","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Couloir de gauche.  Heure notée : 13 à 16 h.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2244","20/01/87
00:00","20/01/87
00:00","1750","1000","","","","","","1","4","2","2","2","2","0","","","","","","","","X","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Très grosse avalanche de plaque dans le couloir de droite. Heure indéterminée car nappe de brouillard à moins de 1200 m toute la journée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2244","30/12/86
00:00","30/12/86
00:00","1600","1100","","","","","","1","4","2","2","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche de plaque dans le couloir de droite.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2244","29/12/86
00:00","29/12/86
00:00","1700","1150","","","","","","1","4","2","2","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche de plaque dans le couloir côté gauche.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2244","23/02/86
00:00","23/02/86
00:00","1750","1000","","","","","","2","4","2","2","2","2","1-20","","","","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Pas de précision sur l'heure de déclenchement.  Corniche de plus d'un mètre d'épaisseur.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2244","01/04/85
01/04/85
00:00
00:00","","1750","950","","","","","","4","4","2","1","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 2244","29/03/84
29/03/84
00:00
00:00","","1750","1200","","","","","","1","1","5","1","5","5","51-
100","","","","X","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 2244","04/03/84
04/03/84
00:00
00:00","","1750","1350","","","","","","3","2","1","5","5","1","51-
100","X","N","","","","","X","","","","X","","","","X","","","X","","","","","","",""
