"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°005
id 9548","28/12/12
00:00","01/01/13
00:00","?","1120","","","200","8","1.0","9","9","9","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 03/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : J'ai pu déterminé la deuxième date car sur les dépôts mouillés il y a une pellicule de neige fraiche (chute du 01/01/13 à partir de 15 h environ.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 9548","17/12/12
00:00","21/12/12
00:00","?","1180","","","200","10","","9","9","9","2","2","2","?","?","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/12/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Au cours de l'épisode alternance de neige, pluie et redoux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 9548","05/01/12
00:00","06/01/12
00:00","?","1100","","","200","10","2.0","9","9","9","2","2","2","51-
100","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","","X","BS","N"
"Date du constat : 06/01/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Arrêt dans la Romanche. 1 mètre d'épaisseur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 9548","07/01/11
00:00","17/01/11
00:00","?","1180","","","100","10","1.5","9","9","9","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 17/01/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 9548","04/02/10
00:00","08/02/10
00:00","?","1170","","","60","20","1.5","9","9","1","2","9","1","21-50","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 08/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 9548","31/01/09
00:00","02/02/09
00:00","1500","1200","","","70","20","2.0","9","3","2","2","2","2","1-20","X","SO","","X","","","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 04/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 9548","04/02/08
00:00","05/02/08
00:00","?","1200","","","30","10","1.5","9","2","1","2","1","1","21-50","X","S","","","X","","X","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 05/02/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 9548","06/01/08
00:00","07/01/08
00:00","1600","1200","","","30","2","1.0","4","3","2","2","2","2","1-20","","SE","X","","","X","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 08/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 9548","03/03/07
00:00","04/03/07
00:00","2200","1160","","","20","15","1.5","4","3","2","5","2","2","51-
100","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 06/03/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 9548","19/02/06
00:00","20/02/06
00:00","?","1120","","","30","5","1.5","0","0","0","2","1","1","21-50","X","SO","","","X","","X","","X","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 20/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 2250","13/01/04
00:00","14/01/04
00:00","2200","1150","","","100","20","2.0","4","5","2","2","2","2","21-50","X","SO","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","B","N"
