"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 04/01/2005 :
Site 38366 003 (id 2387) --> site 38366 003 (id 9320)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°003
id 9320","11/01/08
00:00","14/01/08
00:00","","2400","1100","","X","1000","150","6.0","8","2","2","1","9","2","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 14/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Cette avalanche coule depuis le 11/01 A.M. tous les jours. Le 12/01 sur zone. Départ vers 11h15 durée 4 à 5 mn. Beaucoup de neige en dépôt dans le cône vers 1400m qui
pourrait servir de 'toboggan' - jusqu'à 1300m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 2387","06/12/96
00:00","06/12/96
00:00","","2400","1200","","","","","","2","2","5","2","5","5",">100","X","S","","X","","","X","","","","X","","","","X","","","X","","","","","","",""
"n°003
id 2387","14/01/96
00:00","14/01/96
00:00","","2500","1100","","","","","","2","5","2","1","2","2","51-
100","X","S","","X","","","X","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Volume important déposé pouvant servir de ""tobogan"" si une autre avalanche se produit, d'où risques de dégâts.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 2387","08/03/91
00:00","08/03/91
00:00","","","1000","","","","","","5","1","2","2","2","2","er","X
S","","X","X","","X","","","","X","X","","","","X","","","er","er","er","er","er","er","",""
"n°003
id 2387","10/03/81
00:00","10/03/81
00:00","","1600","1200","","","","","","5","4","5","2","2","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 2387","02/04/80
00:00","02/04/80
00:00","","2100","1100","","","","","","4","3","2","2","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 2387","14/02/77
00:00","14/02/77
00:00","","2000","1550","","","","","","4","3","2","2","2","5","1-20","er
er","","er","er
X","","","","","","","X","","","","X","","","X","","","","","","",""
"n°003
id 2387","05/04/76
00:00","05/04/76
00:00","","2100","950","","","","","","3","3","2","5","2","2","er","","","","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°003
id 2387","21/04/75
00:00","21/04/75
00:00","","2000","1000","","","","","","4","5","2","5","2","2","er","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°003
id 2387","05/04/71
00:00","05/04/71
00:00","","2000","1050","","","","","","1","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 07/04/1971.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 2387","14/04/70
00:00","14/04/70
00:00","","2200","1100","","","","","","1","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 14/04/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 2387","25/02/70
00:00","25/02/70
00:00","","2200","1150","","","","","","1","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
