"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°zone_
B
id 2433","10/03/00
00:00","22/03/00
00:00","1400","1220","","","","","","1","4","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue durant la période comprise entre le 10/03/2000 et 22/03/2000.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
B
id 2433","27/01/00
00:00","04/02/00
00:00","1400","1200","","","","","","1","4","2","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue durant la période comprise entre le 27/01/2000 et 4/02/2000.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
B
id 2433","13/12/99
00:00","22/12/99
00:00","1400","1200","","","","","","2","4","9","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue durant la période comprise entre le 13/12/1999 et 22/12/1999.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
B
id 2433","02/04/99
00:00","21/04/99
00:00","1400","1190","","","","","","2","4","9","2","2","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue durant la période comprise entre le 2/04/1999 et 21/04/1999.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
B
id 2433","08/03/99
00:00","10/03/99
00:00","1400","1200","","","","","","5","3","2","2","2","2","er","X","N","","X","","","X","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue entre les dates suivantes : 8/03/1999 et 10/03/1999.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
B
id 2433","31/12/97
00:00","07/01/98
00:00","1400","1200","","","","","","9","4","9","2","2","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue entre le 31/12/1997 et le 07/01/1998.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
B
id 2433","05/12/97
00:00","14/12/97
00:00","1400","1200","","","","","","1","9","9","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue entre le 5/12/1997 et le 14/12/1997.  Avalanche constatée le 16/12/97 d'où impossibilité de remplir tout le questionnaire.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°zone_
B
id 2433","31/12/96
00:00","07/01/97
00:00","1400","1200","","","","","","9","4","9","2","2","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°zone_
B
id 2433","04/12/96
00:00","09/12/96
00:00","1280","1200","","","","","","2","4","2","1","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue entre deux tournées soit entre le 4/12 au 9/12/1996.  Avalanche constituée de blocs de la taille d'une boule de neige jusqu'à la taille d'un ballon.  Présence de
terre en pied d'avalanche venant de la zone de départ.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
