"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 05/01/2005 :
Site 38514 002 (id 2582) --> site 38514 002 (id 9327)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°002
id 9327","20/02/09
00:00","17/03/09
00:00","","?","1290","","","250","40","10.0","9","1","9","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 18/03/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Apparemment: accumulation de coulées successives de faible importance qui ont comblé le dépôt et fini par atteindre le seuil. Pas de zone de coulée conséquente. Les chutes de
neige ont recouvert en partie les 3 zones de départ, difficiles à estimer.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 2582","15/02/78
00:00","15/02/78
00:00","","1950","1450","","","","","","4","1","1","2","9","1","1-20","er","er","er","er","X","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Draye (nom incertain car mal écrit) de la ruine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 2582","07/02/78
00:00","08/02/78
00:00","","1800","1450","","","","","","5","1","1","2","2","1","1-20","er","er","er","er","","","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Draye (nom incertain car mal écrit) de la ruine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 2582","17/02/77
00:00","18/02/77
00:00","","2000","1400","","","","","","4","2","2","1","2","2","1-20","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : De nombreuses coulées de faible longueur des sites 1 à 3.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 2582","25/01/77
00:00","25/01/77
00:00","","2550","1400","","","","","","9","3","9","9","9","9","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 2582","18/03/76
00:00","18/03/76
00:00","","2500","1450","","","","","","9","9","9","2","9","9","51-
100","","","","X","","","","X","","","","","","","X","","","X","","","","","","",""
"n°002
id 2582","15/02/76
00:00","15/02/76
00:00","","2500","1450","","","","","","9","9","9","1","9","9","21-50","er","er","er","er","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°002
id 2582","01/05/73
00:00","01/05/73
00:00","","1700","1200","","","","","","4","3","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 02/05/1973.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 2582","14/03/72
00:00","14/03/72
00:00","","1700","1250","","","","","","4","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 14/03/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 2582","09/04/71
00:00","09/04/71
00:00","","2200","1300","","","","","","4","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 09/04/1971.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
