"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 09/03/2006 :
Site 38522 019 (id 2629) --> site 38522 019 (id 11493)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°019
id 11493","16/12/11
00:00","20/12/11
00:00","","?","1200","","","20","10","2.0","9","9","2","2","2","2","21-50","?","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 20/12/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 11493","18/02/10
00:00","24/02/10
00:00","","2000","1110","","","20","10","1.0","8","2","2","2","2","2","1-20","","","X","","","","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 24/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 11493","23/01/09
00:00","26/01/09
00:00","","?","1150","","","20","10","2.0","9","2","9","2","2","2","21-50","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 26/01/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Seuil d'alert 1080m et non 1180.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 2629","03/03/06
00:00","06/03/06
00:00","","2200","1200","","","40","5","0.5","8","2","2","2","2","2","21-50","X","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 06/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 2629","17/01/04
00:00","19/01/04
00:00","","2200","1100","","","30","20","1.5","9","5","9","2","2","2","21-50","?","er","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 2629","05/02/03
00:00","05/02/03
00:00","","","1150","","","10","15","1.0","1","2","5","2","5","5","21-50","","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque :  Remarque dépôt:Volume : 10 * 15 * 1.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 2629","12/02/96
00:00","12/02/96
00:00","","2300","1200","","","","","","4","4","1","2","1","1","51-
100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°019
id 2629","22/01/95
00:00","22/01/95
00:00","","2200","1200","","","","","","2","4","2","2","2","2","1-20","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°019
id 2629","12/01/94
00:00","12/01/94
00:00","","2400","1100","","","","","","4","4","2","2","2","2","21-50","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°019
id 2629","18/02/91
00:00","18/02/91
00:00","","2400","1300","","","","","","2","2","2","2","2","2","21-50","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°019
id 2629","14/02/90
00:00","14/02/90
00:00","","2400","1000","","","","","","2","2","2","2","2","2","51-
100","","","","","","X","","","","","X","","","","X","","","X","","","","","","",""
