"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°006
id 2643","08/05/85
00:00","08/05/85
00:00","2100","950","","","","","","4","4","2","2","2","2","21-50","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","23/01/85
00:00","23/01/85
00:00","2200","950","","","","","","2","4","2","2","2","2","1-20","X","SO","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","08/02/84
00:00","09/02/84
00:00","","950","","","","","","9","9","5","2","5","5","51-
100","X","NO","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","24/01/84
00:00","25/01/84
00:00","2200","950","","","","","","2","2","1","2","1","1","51-
100","X","O","X","","X","","","","","","X","","","","X","","","","","","X","","","",""
"Remarque : Dégâts près du cône de déjection.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 2643","06/04/83
00:00","07/04/83
00:00","2200","950","","","","","","2","2","2","2","2","2","51-
100","X","SO","X","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","06/02/83
00:00","06/02/83
00:00","2200","950","","","","","","2","2","1","2","5","5","51-
100","","NO","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","16/12/81
00:00","16/12/81
00:00","2200","950","","","","","","2","5","2","2","2","2","51-
100","X","O","","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","13/12/81
00:00","14/12/81
00:00","","950","","","","","","9","9","2","2","2","2","51-
100","X","O","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Vu les conditions météo, impossible voir zone départ.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 2643","12/03/81
00:00","12/03/81
00:00","2200","950","","","","","","2","4","2","2","2","2","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","20/01/81
00:00","20/01/81
00:00","2000","950","","","","","","2","2","1","2","5","2",">100","X","NO","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","03/02/80
00:00","03/02/80
00:00","","900","","","","","","9","9","2","2","2","2","51-
100","","","X","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","24/01/80
00:00","24/01/80
00:00","2200","950","","","","","","2","4","2","2","2","2","21-50","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","05/02/79
00:00","08/02/79
00:00","2000","950","","","","","","2","1","2","2","2","2","21-50","","","X","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","02/02/78
00:00","03/02/78
00:00","2100","950","","","","","","5","2","1","2","5","5",">100","X","er","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","05/02/77
00:00","06/02/77
00:00","2000","1000","","","","","","2","3","2","2","2","2","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","05/12/76
00:00","06/12/76
00:00","2000","950","","","","","","5","2","1","2","2","1","51-
100","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°006
id 2643","14/02/76
00:00","14/02/76
00:00","2000","950","","","","","","5","2","2","2","2","5","51-
100","er","er","er","er","","","","","X","","X","","","","X","","","X","","","","","","",""
