"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a commencé sur ce site à partir de la campagne 2004-2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 7469","09/03/16
00:00","09/03/16
15:00","","1880","1820","","","40","50","2.0","8","2","1","2","2","1","21-50","X","NO","?","?","X","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 31/03/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Départ cause cassure dûe à plaque à vent, consécutive à vent fort Nord Ouest.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7469","21/01/14
00:00","21/01/14
00:00","","1870","1830","","X","60","20","3.0","8","3","2","1","2","2",">100","X","SO","","","?","X","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 03/03/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche consécutive à des chutes de neige (1,20 m) lors des 4 jours précédents avec fort vent de Sud-Ouest précédée immédiatement avant l'événement de fortes pluies (170
mm).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7469","03/04/13
00:00","03/04/13
00:00","","1860","1830","","X","40","10","2.0","8","2","2","1","2","2","1-20","X","SO","?","X","?","X","X","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Départ dû à la rupture d'une casquette de corniche de la crête de l'ARLAS.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7469","16/01/13
00:00","17/01/13
00:00","","1880","1830","","X","40","50","1.5","8","2","1","2","2","1",">100","X","NO","?","?","X","?","X","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 18/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Constatation de l'événement suite à la présence d'un dépôt de blocs de neige recouverts par de la neige fraiche. Départ en cassures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
