"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°012
id 7323","18/04/09
00:00","18/04/09
00:00","2000","1790","","X","500","100","2.0","8","4","2","2","2","2","21-50","","","X","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 18/04/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : C'est la branche à l'extrême droite du couloir qui a décroché avec le poids supplémentaire des 2 épisodes neigeux du 11/04 et 15/04.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","03/04/09
00:00","04/04/09
00:00","2000","1750","","X","1000","100","1.0","8","4","2","2","2","2","?","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 04/04/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","20/02/09
00:00","13/03/09
00:00","2050","1850","","X","150","60","1.0","8","4","2","2","2","2","?","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 13/03/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","03/04/08
00:00","04/04/08
00:00","2200","1980","","X","300","100","1.0","8","4","2","2","2","2","21-50","X","","","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 08/04/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : 3J PRECEDANT L'EVENEMENT: direction vent : WNW.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","28/03/08
00:00","28/03/08
00:00","2050","1850","","X","100","40","3.0","8","4","2","2","2","2","21-50","","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 28/03/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","17/01/08
00:00","18/01/08
00:00","2100","1800","","","300","","","9","9","9","9","9","9","21-50","X","","","","","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 28/03/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : 3J PRECEDANT L'EVENEMENT: direction vent : WSW.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 2735","22/01/03
00:00","22/01/03
00:00","2100","1850","","","","","","1","4","5","2","2","5","er","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2735","22/01/03
00:00","22/01/03
00:00","1950","1850","","","","","","4","4","1","2","5","5","21-50","X","N","","X","X","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Rupture du au redoux.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 2735","18/02/02
00:00","18/02/02
00:00","2150","2050","","","","","","2","2","1","5","5","1","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2735","11/12/99
00:00","11/12/99
00:00","2060","1790","","","","","","2","5","5","2","2","5","21-50","X","NO","X","","","","","X","","","","","X","","X","","","X","","","","","","",""
"Remarque : Déclenchement à la suite d'un tir volontaire.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 2735","30/03/99
00:00","30/03/99
00:00","2070","1850","","","","","","2","4","5","2","2","5","21-50","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°012
id 2735","20/03/99
00:00","20/03/99
00:00","2060","1740","","","","","","2","1","2","2","2","5","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
