"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Pluies jusqu'à 1800m les 3 jours précédents.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 2760","11/04/00
00:00","11/04/00
00:00","1600","1420","","","","","","4","2","2","2","2","2","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 2760","06/04/00
00:00","06/04/00
00:00","2500","1500","","","","","","2","2","2","2","2","2","1-20","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 2760","16/12/95
00:00","16/12/95
00:00","2200","1600","","","","","","2","2","2","1","2","2","1-20","","","","","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 2760","03/04/92
00:00","03/04/92
00:00","2400","1360","","","","","","2","4","2","5","2","2","21-50","X","er","","","X","X","X","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Route coupée 200m. Hauteur moyenne 5m.  S'est arrêtée au ras des constructions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 2760","01/04/92
00:00","01/04/92
00:00","","1400","","","","","","2","4","2","1","2","2","21-50","X","er","","","X","X","X","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Route coupée 30m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 2760","07/03/91
00:00","07/03/91
00:00","2500","","","","","","","3","3","2","1","2","2","1-20","X","S","X","X","","","X","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 2760","11/12/90
00:00","11/12/90
00:00","","1360","","","","","","4","4","1","5","1","1","51-
100","X","NO","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 2760","15/05/80
00:00","15/05/80
00:00","","1400","","","","","","9","9","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"Remarque : Culot constaté ce jour.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 2760","01/09/78
00:00","15/05/79
00:00","","1400","","","","","","9","9","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°007
id 2760","21/02/73
00:00","21/02/73
00:00","2000","1370","","","","","","4","1","9","9","9","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 21/12/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 2760","09/02/73
00:00","09/02/73
00:00","2000","1370","","","","","","4","5","5","5","2","2","0","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 2760","23/03/71
00:00","23/03/71
00:00","1900","1400","","","","","","4","1","9","9","9","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 24/03/1971.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 2760","17/02/71
00:00","17/02/71
00:00","1900","1400","","","","","","1","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 18/02/1971.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 2760","06/03/69
00:00","06/03/69
00:00","1800","1400","","","","","","1","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 07/03/2069.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
