"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 11/02/2004 :
Site 65017 001 (id 2835) --> site 65017 001 (id 7033)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 7033","27/02/15
00:00","27/02/15
00:00","","?","1100","","X","150","40","2.0","4","4","2","5","2","2",">100","?","","X","?","?","X","?","?","?","?","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 27/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 7033","25/02/15
00:00","25/02/15
00:00","","?","1100","","","100","50","3.0","9","9","9","5","2","2",">100","X","O","?","?","X","X","?","?","?","?","X","","","","X","","","","","","","X","X","BS","O"
"Date du constat : 26/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 7033","24/02/15
00:00","24/02/15
00:00","","?","1100","","","","","","9","9","9","2","2","2",">100","X","O","X","?","X","X","X","?","?","?","X","","","","X","","","","","","","X","","BS","O"
"Date du constat : 26/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : a dé&bordé le paravalanche route bloquée","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 7033","01/02/15
00:00","01/02/15
00:00","","?","1100","","X","","","","9","9","9","2","1","1",">100","?","","?","?","X","?","?","?","?","?","X","","","","X","","","","","","","X","","I","O"
"Date du constat : 04/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  A débordé le paravalanche en aval et serait tombée 2 fois dans la même journée Dépôt très difficile à estimer et impossible d'affirmer les 2 avalanches consécutives au cours de la
même journée (info incohérentes des témoins)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 7033","31/01/15
00:00","02/02/15
00:00","","?","1100","","X","60","20","4.0","9","9","1","5","1","1",">100","X","","","","X","?","X","?","?","?","X","","","","X","","","","","","","X","","BS","O"
"Date du constat : 04/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  A débordé le paravalanche lors de l'une des 2 coulées survenues le même jour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 7033","24/01/14
00:00","25/01/14
00:00","","?","1100","","X","100","2","2.0","9","4","2","2","2","2","51-
100","?","","X","?","?","X","?","?","?","?","X","","","","X","","","","","","","","X","B","O"
"Date du constat : 28/01/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : arrêt dans le cours d'eau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 7033","19/02/13
00:00","19/02/13
00:00","","?","1100","","X","30","6","3.0","9","9","2","2","2","2","0","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","","BS","O"
"Date du constat : 22/02/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : a débordé le paravalanche en amont (survalanche)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 7033","14/02/13
00:00","15/02/13
00:00","","2100","1100","","X","25","4","1.5","8","4","2","2","2","2","0","?","","?","X","?","X","?","?","?","?","X","","","","X","","","","","","","X","","B","O"
