"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Date du constat : 24/02/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : arrêt sur route décl gazex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°212
id 7059","23/12/09
00:00","24/12/09
00:00","?","1800","","X","40","3","0.400
0000
06","9","9","9","2","2","2","21-50","X","SO","","","","X","","","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 24/12/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Déclenchement GAZEX?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°212
id 7059","10/04/09
00:00","14/04/09
00:00","?","1780","","","20","10","1.0","9","9","2","2","2","2","21-50","","","","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 14/04/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°212
id 7059","09/02/09
00:00","09/02/09
00:00","?","1780","","","60","20","0.800
0000
12","9","3","1","5","5","1","21-50","","","","","?","?","?","?","?","?","","","","X","X","","","","","","X","X","","B","O"
"Date du constat : 09/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Déclenchement probable Gazex (pas d'info à ce jour).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°212
id 7059","02/01/09
00:00","05/01/09
00:00","2100","1820","","","20","4","0.400
0000
06","4","2","1","2","2","2","1-20","?","","?","?","?","?","?","?","?","?","","","","X","X","","","X","","","","","","B","N"
"Date du constat : 05/01/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°212
id 7059","01/11/08
00:00","02/11/08
00:00","2050","1780","","","","","2.0","4","4","2","2","2","2","21-50","","","X","X","X","","","","","","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 04/11/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Lg + Larg dépôt: route dégagée = pas de  données.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°212
id 7059","17/04/08
00:00","21/04/08
00:00","2200","1910","","","30","8","0.800
0000
12","4","5","2","5","2","2","21-50","?","","?","?","?","?","?","?","?","?","","","","X","X","","","X","","","","","","B","N"
"Date du constat : 22/04/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Déclenchement possible dû aux gazex.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°212
id 7059","30/03/07
00:00","02/04/07
00:00","2050","1800","","","30","20","0.300
0000
12","8","4","2","1","2","2","21-50","","","","","","X","","","","","","","","X","X","","","X","","","","","","B","N"
"Date du constat : 04/04/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°212
id 7059","07/03/05
00:00","07/03/05
00:00","?","1775","","","80","10","0.800
0000
12","9","9","2","2","2","2","21-50","","","","X","","","","X","","","","","X","","X","","","X","","","","","","BS","O"
"Date du constat : 09/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
