"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 12/02/2004 :
Site 65032 003 (id 2853) --> site 65032 003 (id 6974)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°003
id 6974","24/02/15
00:00","04/03/15
00:00","","?","1100","","","200","20","2.5","9","9","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","BS","O"
"Date du constat : 04/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 6974","03/12/08
00:00","08/12/08
00:00","","1650","1250","","","100","15","1.5","8","4","9","2","2","2","?","","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","er"
"Date du constat : 08/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 2853","11/02/94
00:00","11/02/94
00:00","","","","","","","","","2","4","2","5","2","2","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°003
id 2853","26/12/93
00:00","26/12/93
00:00","","2050","1060","","","","","","5","5","5","2","2","2","51-
100","X","O","","","","","X","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Dans son tracé final cette avalanche rejoint la n°4 et coupe la D105 sur une longueur de 120 mètres et une hauteur de 15 mètres.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 2853","10/12/92
00:00","10/12/92
00:00","","1550","1000","","","","","","2","4","2","2","2","2","1-20","","","","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Ne coupe pas la route.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 2853","29/03/92
00:00","29/03/92
00:00","","1400","1000","","","","","","2","4","2","5","2","2","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 2853","21/01/85
00:00","21/01/85
00:00","","1650","1200","","","","","","4","4","5","5","2","5","1-20","X","er","X","X","","","X","","X","","X","","","","X","","","","","","X","","","",""
"n°003
id 2853","15/01/81
00:00","15/01/81
00:00","","2000","1250","","","","","","2","4","2","5","2","2","51-
100","","","","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°003
id 2853","18/03/80
00:00","18/03/80
00:00","","","","","","","","","5","4","2","5","2","5","51-
100","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Coupe la route du Tech, mais sur une petite longueur (environ 5 m * 1 m d'épaisseur).  Très gros blocs de neige sale dans le dépôt.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 2853","16/04/78
00:00","16/04/78
00:00","","2300","1050","","","","","","2","5","5","2","5","5","51-
100","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : L'avalanche coupe la route du Tech sur environ 150 m et 5 à 6 m d'épaisseur.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 2853","22/01/78
00:00","28/01/78
00:00","","1900","1050","","","","","","2","5","5","2","2","5",">100","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Coupe la route du Tech en formant un cône commun avec l'avalanche n°4.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
