"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a commencé sur ce site à partir de la campagne 2004-2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°208
id 7257","28/02/15
00:00","01/03/15
00:00","","1950","1800","","","60","40","2.0","8","4","2","1","2","2","1-20","?","","X","X","?","X","?","?","X","?","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 02/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : est descendue jusqu'au parking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°208
id 7257","10/02/13
00:00","10/02/13
00:00","","1950","1800","","","50","15","1.5","8","2","1","1","2","1","21-50","","","X","","","","","X","","","X","","","","X","","","","","","","","","B","O"
"Date du constat : 11/02/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Départ au niveau du ratelier(filet) du bas ,
arrivée sur le parking "" mongie 1900"" causant des dommages sur une dizaine de vehicules
 aucune personnes touchée.Mr Delous de Barèges n'étant pas joignable , ai prévenu Mr Cazaban","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°208
id 7257","22/02/11
00:00","24/02/11
00:00","","1900","1800","","","10","40","1.0","4","2","2","1","2","2","21-50","X","O","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 24/02/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : avis envoyé par courrier fin février ,
le numéro n'est pas le 008 mais le 208.
vent fort d'ouest dans la nuit du 21/ 02 au 22/02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
