"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°039
id 7211","14/01/13
00:00","18/01/13
00:00","1800","1320","","","150","40","2.0","8","4","2","1","2","2",">100","?","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 18/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 7211","01/12/12
00:00","07/12/12
00:00","1700","1400","","","30","10","0.400
0000
06","8","4","2","1","9","2","21-50","X","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 07/12/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 7211","09/02/12
00:00","13/02/12
00:00","?","1400","","","100","20","0.5","9","9","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 13/02/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Pas de vision claire de la zone de départ.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 7211","20/12/11
00:00","26/12/11
00:00","1600","1250","","","100","15","1.0","4","4","2","2","2","2","21-50","?","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 26/12/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 7211","21/02/11
00:00","24/02/11
00:00","1800","1500","","","150","20","2.0","9","4","2","2","2","2","51-
100","X","O","X","X","?","X","?","?","?","?","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 24/02/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 2952","22/12/94
00:00","22/12/94
00:00","1900","1300","","","","","","4","4","1","2","1","1","51-
100","X","er","","","X","","","","","","X","","","","X","","","X","","","","X","","",""
"Remarque : Arrivée en limite du parking.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 2952","01/04/94
00:00","30/04/94
00:00","1600","1300","","","","","","5","5","5","2","5","5","51-
100","X","er","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Le CDF.  Signature.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 2952","09/02/94
00:00","10/02/94
00:00","1800","1340","","","","","","2","4","2","2","2","2","0","","","","X","","X","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Le couloir était déjà obstrué par l'avalanche du 25/12/93, l'effet tobogan a joué. Arrivée au gave en limite du parking, cette avalanche laisse imaginer l'ampleur des dégâts si le
redoux s'était produit à 2200m.  Environ 40% du volume neige s'est destabilisé.  Le 16/02/94.  Signature.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 2952","25/12/93
00:00","25/12/93
00:00","1800","1340","","","","","","4","4","1","2","1","1","51-
100","X","er","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche arrivée au gave du Courbasque.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 2952","19/01/85
00:00","20/01/85
00:00","1900","1450","","","","","","2","3","2","2","2","2","er","","","","X","","","X","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Redoux caractéristique après une période de très grand froid.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°039
id 2952","05/02/84
00:00","05/02/84
00:00","1900","1300","","","","","","2","5","1","2","2","1","51-
100","X","er","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
