"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : La plaque de départ ne concerne pas toute l'épaisseur de neige. Dans les 3 jours précédent l'événement il est tombé 60cm entre le 30 et 31/05 (> 1500m), cumul de 1m sur les
4jours. Pluie <1500m. Route : piste de plateaux coupée, voitures bloquées.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7296","07/02/13
00:00","18/02/13
1750
00:00","","1320","","","450","14","3.0","4","4","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","","X","B","O"
"Date du constat : 18/02/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : -Couvre le lit du Gave du Bastan sur 200m de long.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7296","23/01/13
00:00","31/01/13
00:00","1650","1450","","","400","20","2.5","4","4","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 31/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7296","10/01/13
00:00","18/01/13
00:00","2050","1340","","","350","12","4.0","9","9","9","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","X","BS","O"
"Date du constat : 18/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : -Arrive dans le gave du Bastan.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7296","12/02/09
00:00","13/02/09
00:00","2100","1340","","","30","20","3.0","8","5","1","2","2","1",">100","?","","?","?","","","","X","","","X","","","","X","","","X","","","","","","B","er"
"Date du constat : 13/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Torrent La Bostan recouvert sur 30 mètres.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7296","25/03/08
00:00","25/03/08
00:00","1850","1400","","","60","30","","8","2","2","2","9","2","51-
100","X","NO","X","","","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 30/04/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7296","16/02/05
00:00","16/02/05
00:00","2250","1400","X","","700","200","","8","2","1","2","5","1",">100","X","er","","","X","","X","","","","X","","","","X","","","","","","X","X","X","B","N"
"Date du constat : 18/02/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 3044","04/01/04
00:00","04/01/04
00:00","1800","1343","X","X","","","","1","2","5","2","2","2","21-50","X","er","X","","","","","X","","","X","","","","X","","","X","","","","","","er","er"
"Remarque : L'avalanche a recouvert le Gave.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 3044","03/03/03
00:00","03/03/03
00:00","2000","1820","","","","","","2","4","2","2","2","2","er","","er","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3044","04/02/03
00:00","04/02/03
00:00","1800","1340","","","","","","2","4","2","2","2","2","21-50","","er","","X","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3044","06/03/95
00:00","06/03/95
00:00","2420","1330","","","","","","2","2","5","2","2","2","51-
100","X","SO","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Pluie abondante jusque vers 2400m toute la journée du 05/05/95 et nuit du 5 au 6/03; peu de neige en dessous de 1900m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 3044","12/01/95
00:00","12/01/95
00:00","1750","1330","","","","","","2","2","2","2","2","2","1-20","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
