"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 29/03/2004 :
Site 73004 001 (id 3110) --> site 73004 001 (id 8073)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 8073","02/01/12
00:00","28/02/12
00:00","","1550","1200","","","80","15","2.0","4","5","2","2","2","2","?","?","","X","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 28/02/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3110","28/02/99
00:00","28/02/99
00:00","","1740","1160","","","","","","2","4","2","2","2","2","0","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Site non observable d'une route, ni visible d'un versant opposé à cause de la complexité de la trajectoire des coulées (sauf zone de départ) . Combe inférieure du dépôt à une
centaine de mètres à l'aval de la piste inférieure du Muret. Départs multiples non simultanés.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3110","05/02/95
00:00","05/02/95
00:00","","1600","1250","","","","","","2","4","2","2","2","2","0","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 3110","07/02/87
00:00","07/02/87
00:00","","1620","1180","","","","","","4","4","2","2","2","2","0","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 3110","27/01/81
00:00","27/01/81
00:00","","1620","1240","","","","","","3","4","1","2","5","1","0","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Mêmes remarques que pour celle du 25 janvier.  25, 26, 27 janvier : brouillard le matin jusqu'à 1100 m se dissipant à l'arrivée du soleil. Beau temps et froid. Exposition point de
départ ESF.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3110","25/01/81
00:00","25/01/81
00:00","","1580","1160","","","","","","3","4","1","2","5","1","er","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Chutes de neige quotidiennes du 10 au 20 janvier.  Le 19 et le 20, importante chute de neige (0.80-1 m zone de départ).  Le 20 vent Nord assez fort.  21, 22, 23 et 24 beau temps
froid.  25 brouillard jusqu'à 700-800 m. Température agréable l'après-midi au-dessus nappe brouillard.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3110","19/03/70
00:00","19/03/70
00:00","","1600","1150","","","","","","9","4","9
9","","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3110","07/02/66
00:00","07/02/66
00:00","","1600","1200","","","","","","9","4","9
9","","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3110","24/02/63
00:00","24/02/63
00:00","","1600","1000","","","","","","9","1","9
9","","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3110","02/03/46
00:00","02/03/46
00:00","","1700","950","","","","","","9","4","9
9","","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3110","12/02/45
00:00","12/02/45
00:00","","1700","950","","","","","","9","4","9
9","","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3110","15/03/40
00:00","15/03/40
00:00","","1700","950","","","","","","9","4","9
9","","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
