"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 27/04/2004 :
Site 73015 016 (id 3181) --> site 73015 016 (id 8191)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°016
id 8191","15/04/13
00:00","15/04/13
00:00","","2440","1880","","","80","30","3.0","4","4","2","2","2","2","0","","","X","","","","","X","","","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 15/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : déclenchement au gazex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 8191","06/01/12
00:00","06/01/12
00:00","","2400","1900","","","50","50","1.5","8","2","2","1","2","2","51-
100","X","O","X","X","X","X","X","","X","X","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 07/01/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Déclenchement catex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 3181","28/03/03
00:00","28/03/03
00:00","","2440","1950","","","","","","4","4","2","2","2","2","er","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : CLPA N° 40.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 3181","04/02/03
00:00","04/02/03
00:00","","2440","2000","","","","","","2","2","1","1","1","1","51-
100","X","NO","","","X","","","","","","","","X","","X","","","X","","","","","","",""
"Remarque : GAZEX.  CLPA N° 40.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 3181","10/03/94
00:00","10/03/94
00:00","","2450","1950","","","","","","4","4","2","2","2","2","er","","","","X","","","","X","","","","","X","","X","","","X","","","","","","",""
"Remarque : Catex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 3181","29/03/87
00:00","29/03/87
00:00","","2440","1950","","","","","","4","5","5","5","5","5","21-50","","","","X","X","","","","X","","","","X","","X","","","X","","","","","","",""
"Remarque : Pluie le 27 et 28 puis neige. Déclenchement avec C.A.T.E.X.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 3181","26/01/84
00:00","26/01/84
00:00","","2448","1810","","","","","","4","4","1","5","1","1","51-
100","er","er","er","er","","","","","X","","","","X","","X","","","X","","","","","","",""
