"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 29/03/2004 :
Site 73036 003 (id 3301) --> site 73036 003 (id 8095)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°003
id 3301","18/03/88
00:00","18/03/88
00:00","","1750","1300","","","","","","4","4","2","1","2","2","1-20","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3301","04/03/86
00:00","04/03/86
00:00","","1750","1300","","","","","","4","4","2","1","2","5","21-50","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3301","28/03/85
00:00","28/03/85
00:00","","1750","1300","","","","","","4","4","5","1","2","5","1-20","X","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3301","31/03/84
00:00","31/03/84
00:00","","1750","1300","","","","","","2","4","2","1","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3301","10/02/78
00:00","10/02/78
00:00","","1800","1450","","","","","","2","2","2","2","9","5",">100","er","er","er","er","X","","","","","","X","","","","X","","","","X","","","","","",""
"n°003
id 3301","12/04/75
00:00","12/04/75
00:00","","1700","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3301","11/05/70
00:00","11/05/70
00:00","","1850","1450","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3301","04/02/66
00:00","04/02/66
00:00","","1700","1500","","","","","","4","4","9","9","9","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3301","11/02/50
00:00","11/02/50
00:00","","1900","1400","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
