"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 17/07/2003 :
Site 73040 018 (id 3324) --> site 73040 018 (id 6008)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°018
id 6008","29/02/16
08:00","29/02/16
16:00","","A 1900","1800","","","","","","8","4","2","1","2","2",">100","X","SE","","X","X","","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 01/03/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°018
id 6008","07/01/13
00:00","09/01/13
00:00","","A 2000","1730","","","","","","8","4","1","1","2","1","0","","","X","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°018
id 6008","26/02/12
00:00","28/02/12
00:00","","A 1940","1760","","","80","8","2.0","8","4","1","1","2","2","0","","","","","","","","X","","","X","","","","X","","","","","","X","","","B","N"
"Date du constat : 28/02/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°018
id 6008","07/12/10
00:00","07/12/10
00:00","","A 2800","1840","","X","","","","9","2","1","5","5","2","21-50","X","S","","X","X","X","X","","","","X","","","","X","","","","","","X","","","B","N"
"Date du constat : 29/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°018
id 6008","14/12/08
00:00","16/12/08
00:00","","?","1750","","X","","","","9","2","1","5","1","1",">100","","","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 29/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°018
id 6008","12/01/04
00:00","12/01/04
00:00","","2550","1750","X","X","","","","2","4","2","1","2","2","21-50","","er","X","X","","X","","","","","X","","","","X","","","","","","X","","","er","er"
"Remarque : CLPA 31/32.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°018
id 3324","06/03/02
00:00","06/03/02
00:00","","2800","2000","","","","","","2","2","5","5","2","2","1-20","","","X","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°018
id 3324","05/03/01
00:00","05/03/01
00:00","","2950","2100","","","","","","2","2","2","2","2","2","1-20","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°018
id 3324","04/01/01
00:00","04/01/01
00:00","","2800","2050","","","","","","2","4","2","2","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°018
id 3324","02/03/00
00:00","02/03/00
00:00","","2200","1900","","","","","","4","4","1","2","1","1","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°018
id 3324","12/12/96
00:00","12/12/96
00:00","","2600","2050","","","","","","4","4","1","2","1","1","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°018
id 3324","24/03/96
00:00","24/03/96
00:00","","2300","1950","","","","","","4","4","2","5","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
