"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°016
id 3321","31/01/95
00:00","31/01/95
00:00","3050","1690","","","","","","4","4","1","2","1","1","1-20","","","X","","","","","X","","","X","","","","X","","","","","","","X","X","",""
"n°016
id 3321","23/01/95
00:00","23/01/95
00:00","2650","1690","","","","","","2","2","1","2","2","2","21-50","","","X","","","X","X","","","","X","","","","X","","","","","","","","X","",""
"n°016
id 3321","11/03/94
00:00","11/03/94
00:00","3050","1690","","","","","","4","4","5","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","03/01/94
00:00","03/01/94
00:00","3050","1820","","","","","","4","4","1","2","5","5","51-
100","X","O","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","24/12/93
00:00","24/12/93
00:00","3050","1690","","","","","","4","4","1","2","1","1",">100","X","O","","","X","","X","","","","X","","","","X","","","","","","","X","X","",""
"n°016
id 3321","28/04/93
00:00","28/04/93
00:00","3000","1820","","","","","","2","2","1","2","5","2",">100","","","X","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","06/04/93
00:00","06/04/93
00:00","2800","1800","","","","","","2","2","2","2","2","2","51-
100","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","06/03/93
00:00","06/03/93
00:00","2900","1820","","","","","","4","4","1","2","1","1","51-
100","X","S","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","20/11/92
00:00","20/11/92
00:00","2600","1700","","","","","","2","2","2","2","2","2","51-
100","","","X","X","X","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","27/10/92
00:00","27/10/92
00:00","2900","1800","","","","","","4","4","2","2","2","2","51-
100","","","X","","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","06/10/92
00:00","06/10/92
00:00","3000","1800","","","","","","4","4","2","2","2","2","51-
100","X","S","","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : La hauteur de neige annoncée à 2500.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 3321","23/12/91
00:00","23/12/91
00:00","3000","1700","","","","","","4","4","2","2","2","2","51-
100","X","N","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","07/01/91
00:00","07/01/91
00:00","2700","1710","","","","","","2","2","2","2","2","2","21-50","","","","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","21/04/90
00:00","21/04/90
00:00","3000","1700","","","","","","5","5","5","2","2","5","51-
100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","01/03/90
00:00","01/03/90
00:00","2700","1710","","","","","","4","4","2","2","2","2","21-50","X","O","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","14/02/90
00:00","14/02/90
00:00","2600","1800","","","","","","4","4","2","2","2","2","51-
100","X","O","","","X","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","05/03/89
00:00","05/03/89
00:00","3000","1720","","","","","","4","4","1","2","2","1","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°016
id 3321","09/02/88
00:00","09/02/88
00:00","2700","1710","","","","","","2","2","1","2","1","1","21-50","X","SO","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
