"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 29/07/2003 :
Site 73054 010 (id 3417) --> site 73054 010 (id 6682)
Site 73054 030 (id 3437) --> site 73054 010 (id 6682)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°010
id 6682","25/12/07
00:00","28/04/08
00:00","","?","1230","","","2","1","1.0","9","4","2","2","2","2","?","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","er"
"Date du constat : 28/04/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Intermittente.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 6682","03/02/06
00:00","06/02/06
00:00","","?","1200","","X","50","10","1.0","4","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 06/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 6682","20/03/05
00:00","24/03/05
00:00","","?","1230","","","50","10","2.0","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 24/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Intermitente.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 3417","16/02/03
00:00","16/02/03
00:00","","1800","1400","","","","","","5","5","5","2","2","5","er","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : L'avalanche descend jusqu'au ruisseau. Remarque dépôt:Dépôt impossible à quantifier.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 3417","04/02/99
00:00","04/02/99
00:00","","1800","1400","","","","","","4","2","1","2","1","1","21-50","X","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°010
id 3417","23/01/98
00:00","23/01/98
00:00","","","","","","","","","5","4","5","2","2","9","51-
100","X","er","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°010
id 3417","22/12/96
00:00","22/12/96
00:00","","1800","1400","","","","","","5","4","5","2","2","5","0","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°010
id 3417","03/02/95
00:00","03/02/95
00:00","","1800","1400","","","","","","4","5","5","2","2","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°010
id 3417","06/03/94
00:00","06/03/94
00:00","","1800","1400","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°010
id 3417","28/02/86
00:00","28/02/86
00:00","","2000","1200","","","","","","5","4","2","2","2","2","er","er","er","er","er","","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°010
id 3417","28/04/84
00:00","28/04/84
00:00","","2000","1200","","","","","","9","9","9","9","9","9","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°010
id 3417","06/04/83
00:00","06/04/83
00:00","","","","","","","","","5","4","2","2","2","2","51-
100","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
