"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°006
id 3466","29/03/95
00:00","29/03/95
00:00","1800","1400","","","","","","4","2","1","2","1","1","21-50","X","N","","","X","","X","","","","","","X","","X","","","X","","","","","","",""
"n°006
id 3466","25/02/95
00:00","25/02/95
00:00","1550","1000","","","","","","4","2","2","2","2","2",">100","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Très grosse avalanche, zone de départ non liée au C.A.T.E.X. (versant Sud Est).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3466","14/01/95
00:00","14/01/95
00:00","1350","1225","","","","","","4","2","5","1","2","5","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3466","08/04/94
00:00","08/04/94
00:00","","1000","","","","","","5","1","5","2","5","2",">100","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3466","06/01/94
00:00","06/01/94
00:00","1650","1400","","","","","","4","4","2","2","2","2","0","X","S","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Voir photo J. DIERNAZ, maitre délégué de CELLIERS.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3466","02/01/94
00:00","02/01/94
00:00","1650","1000","","","","","","1","5","5","1","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3466","30/12/93
00:00","30/12/93
00:00","1600","1400","","","","","","4","4","2","2","2","2","0","","","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°006
id 3466","25/12/93
00:00","25/12/93
00:00","1650","1000","","","","","","2","5","5","1","2","2",">100","X","er","","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°006
id 3466","24/12/93
00:00","24/12/93
00:00","1700","1000","","","","","","4","2","1","2","1","1",">100","X","er","","","X","","X","","X","","","","X","","X","","","X","","","","","","",""
"Remarque : Catex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3466","20/12/93
00:00","20/12/93
00:00","1550","1430","","","","","","4","4","2","2","2","2",">100","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3466","19/02/91
00:00","19/02/91
00:00","1800","1700","","","","","","4","2","1","1","2","1","1-20","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3466","14/02/90
00:00","14/02/90
00:00","1800","1100","","","","","","2","2","2","2","2","2","51-
100","X","O","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3466","13/02/90
00:00","13/02/90
00:00","1850","1100","","","","","","4","2","1","2","5","5","51-
100","X","O","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3466","18/03/88
00:00","18/03/88
00:00","1400","1100","","","","","","2","2","2","2","2","2","21-50","X","SO","X","X","X","X","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Zone de départ en forêt (canton de Saint André).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3466","16/02/88
00:00","16/02/88
00:00","1600","1100","","","","","","2","4","2","5","2","2","0","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : CD94 intercepté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
