"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 26/04/2005 :
Site 73060 003 (id 3463) --> site 73060 003 (id 9784)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°003
id 3463","28/01/99
00:00","28/01/99
00:00","","1400","1310","","","","","","4","2","1","2","1","1","21-50","X","er","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Souhaitable de boiser la zone de départ (couloir près du centre de vacances ""Le Soleil Levant"").","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3463","19/03/88
00:00","19/03/88
00:00","","1700","1320","","","","","","2","2","2","2","2","2","1-20","X","SO","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Arrivée à 25 m de l'accès à une colonie de vacances ""Le soleil levant"".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3463","18/03/88
00:00","18/03/88
00:00","","1700","1350","","","","","","2","2","2","2","2","2","21-50","X","SO","X","X","X","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°003
id 3463","27/02/86
00:00","27/02/86
00:00","","1500","1300","","","","","","2","3","2","2","2","2","0","X","O","X","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°003
id 3463","07/02/84
00:00","07/02/84
00:00","","1700","1250","","","","","","2","5","2","2","2","2","51-
100","","","","X","X","","","","","","X","","","","X","","","","","","","X","","",""
"Remarque : Accès colonie de vacances intercepté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3463","25/01/84
00:00","25/01/84
00:00","","1700","1250","","","","","","4","2","1","2","1","1","51-
100","X","O","","","X","","","","X","","X","","","","X","","","","","","","X","","",""
"Remarque : Accès colonie de vacances intercepté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3463","07/01/82
00:00","08/01/82
00:00","","1700","1200","","","","","","2","3","2","1","2","2","0","X","NO","","X","","","X","","X","","X","","","","X","","","","","","","X","","",""
"Remarque : CD94 intercepté (parking la Chapelle).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3463","20/03/78
00:00","26/03/78
00:00","","1700","1200","","","","","","5","3","2","2","2","2","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3463","02/02/78
00:00","02/02/78
00:00","","1700","1100","","","","","","4","2","1","2","5","5","51-
100","er","er","er","er","X","","","","","","X","","","","X","","","","","X","","","","",""
"n°003
id 3463","05/04/62
00:00","05/04/62
00:00","","1730","1260","","","","","","4","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 16/04/2062.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3463","03/02/61
00:00","03/02/61
00:00","","1600","1250","","","","","","9","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 13/02/2061.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
