"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 3517","22/02/90
00:00","22/02/90
00:00","2000","1200","","","","","","4","4","2","2","2","2","51-
100","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 3523","07/04/88
00:00","07/04/88
00:00","1700","1300","","","","","","2","1","2","2","2","2","er","","","","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°003
id 3521","06/04/88
00:00","06/04/88
00:00","1900","1250","","","","","","2","1","2","2","2","2","er","","","","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°001
id 3517","01/04/88
00:00","01/04/88
00:00","2000","1150","","","","","","2","1","2","2","2","2","21-50","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 3517","20/03/88
00:00","20/03/88
00:00","2000","1200","","","","","","2","1","2","2","2","2","1-20","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°003
id 3521","20/03/88
00:00","20/03/88
00:00","1950","1300","","","","","","2","1","2","2","2","2","1-20","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 3524","20/03/88
00:00","20/03/88
00:00","1800","1300","","","","","","2","1","2","2","2","2","1-20","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 3523","20/03/88
00:00","20/03/88
00:00","1700","1300","","","","","","2","1","2","2","2","2","1-20","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°003
id 3521","30/01/87
00:00","30/01/87
00:00","1950","1400","","","","","","5","2","5","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 3517","28/01/87
00:00","28/01/87
00:00","2000","1300","","","","","","5","2","5","2","2","5","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3521","20/01/86
00:00","20/01/86
00:00","1950","1400","","","","","","5","1","5","2","2","5","1-20","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 3517","19/01/86
00:00","19/01/86
00:00","2000","1400","","","","","","5","1","5","2","2","5","1-20","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 3517","06/03/84
00:00","06/03/84
00:00","2000","1200","","","","","","5","1","5","2","2","5","21-50","X","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3521","07/02/84
00:00","08/02/84
00:00","1800","1200","","","","","","5","2","5","2","2","5","21-50","","","","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3521","25/05/83
00:00","25/05/83
00:00","2000","1300","","","","","","1","5","2","2","2","2","1-20","","","X","","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 3524","25/05/83
00:00","25/05/83
00:00","1900","1300","","","","","","1","5","2","2","2","2","1-20","","","X","","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°003
id 3521","06/04/83
00:00","06/04/83
00:00","1800","1200","","","","","","5","2","2","2","2","2","21-50","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3521","08/03/83
00:00","08/03/83
00:00","1850","1300","","","","","","1","1","2","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
