"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2004-2005.
Filiations entre les sites définies lors du toilettage du 13/04/2004 :
Site 73080 005 (id 3529) --> site 73080 005 (id 7946)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°005
id 3529","19/03/00
00:00","19/03/00
00:00","","1800","1500","","","","","","4","4","2","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 3529","28/02/99
00:00","28/02/99
00:00","","1800","1500","","","","","","5","5","5","2","2","2","21-50","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 3529","13/12/96
00:00","13/12/96
00:00","","1800","1500","","","","","","2","4","2","2","2","2","0","","","","X","","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°005
id 3529","04/04/95
00:00","04/04/95
00:00","","1800","1500","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 3529","06/03/86
00:00","06/03/86
00:00","","1850","1550","","","","","","5","4","2","2","2","2","0","X","er","","","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°005
id 3529","10/03/81
00:00","10/03/81
00:00","","1750","1400","","","","","","4","3","2","2","2","2","0","","","X","X","","","","X","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 3529","04/02/80
00:00","04/02/80
00:00","","1750","1400","","","","","","1","3","2","2","2","2","0","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 3529","05/03/78
00:00","05/03/78
00:00","","1750","1400","","","","","","2","4","2","2","2","2","0","","","X","X","X","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°005
id 3529","22/04/71
00:00","22/04/71
00:00","","1750","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche de fond.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 3529","12/05/70
00:00","12/05/70
00:00","","1750","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 3529","15/04/68
00:00","15/04/68
00:00","","1750","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 3529","13/04/67
00:00","13/04/67
00:00","","1750","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 3529","14/04/66
00:00","14/04/66
00:00","","1750","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 3529","22/03/65
00:00","22/03/65
00:00","","1750","1500","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 22/03/2065.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
