"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°002
id 3535","08/01/94
00:00","08/01/94
00:00","1700","1200","","","","","","2","3","5","2","2","5","0","","","X","X","","","X","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 3535","06/03/89
00:00","06/03/89
00:00","1400","950","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3535","29/03/88
00:00","29/03/88
00:00","1750","1300","","","","","","5","4","2","1","2","5","1-20","X","O","X","X","","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°002
id 3535","16/03/84
00:00","16/03/84
00:00","1500","1000","","","","","","4","4","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3535","08/03/81
00:00","08/03/81
00:00","1500","1000","","","","","","4","4","2","2","2","2","er","","","","X","","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°002
id 3535","01/04/79
00:00","01/04/79
00:00","1500","1000","","","","","","9","4","1","2","1","1","21-50","er","er","er","er","","","","X","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Ciel se couvrant rapidement.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3535","18/02/78
00:00","18/02/78
00:00","1500","1000","","","","","","4","4","2","2","9","9","er","","","X","","","X","","","","X","X","","","","X","","","er","er","er","er","er","er","",""
"n°002
id 3535","23/03/77
00:00","23/03/77
00:00","1500","1000","","","","","","4","4","2","2","2","2","er","X","","","X","","","X","","X","","X","","","","X","","","er","er","er","er","er","er","",""
"Remarque : Vent fort chaud soufflant par rafales fortes venant du Sud.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3535","17/03/74
00:00","17/03/74
00:00","1500","800","","","","","","4","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 18/03/1974.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3535","15/04/70
00:00","15/04/70
00:00","1500","800","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3535","18/01/69
00:00","18/01/69
00:00","1500","800","","","","","","4","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 05/03/2069.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3535","09/02/66
00:00","09/02/66
00:00","1500","800","","","","","","4","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Etat du terrain :  roch.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3535","20/02/63
00:00","20/02/63
00:00","1500","800","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3535","02/04/62
00:00","02/04/62
00:00","1500","800","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3535","26/01/61
00:00","26/01/61
00:00","1500","800","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
