"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°003
id 10160","18/01/06
00:00","19/01/06
00:00","","1200","","X","30","10","3.0","4","2","1","2","2","1","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/01/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : L'avalanche est partie de plusieurs points dont le plus haut est situé à 2170m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3588","12/03/05
00:00","16/03/05
00:00","2050","1200","","X","","","","4","3","2","2","2","2","0","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 16/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Plusieurs zones de départ versant Sud arrivée à la jonction avec le ruisseau de plan du tour.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3588","13/02/05
00:00","13/02/05
00:00","?","1200","","X","","","","9","9","2","2","2","2","1-20","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","er","N"
"Date du constat : 16/02/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  L'heure de l'événement est l'heure approximativve à laquelle l'avalanche a obstrué la prise d'eau de la Lauzière La zone de départ n'est pas remarquable (masquée par chutes de
neige)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3588","13/01/04
00:00","13/01/04
00:00","2300","1200","X","X","","","","2","3","2","2","2","2","0","","er","X","X","","X","","","","","X","","","","X","","","X","","","","","","er","er"
"Date du constat : 13/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Constat de l'avalanche le 13/01/2004 à 17 h 00.  Incertitude sur l'heure de déclenchement.  Cône impossible à estimer.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3588","12/03/03
00:00","12/03/03
00:00","2100","1200","","","","","","2","4","2","2","2","2","er","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : La zone de départ est située en versant Sud.  L'avalanche est partie dans l'après-midi du 13/03/03.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3588","26/02/02
00:00","28/02/02
00:00","","1200","","","","","","9","9","2
2","","2","2","21-50","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3588","01/09/99
00:00","07/02/00
00:00","1850","1200","","","","","","9","9","9
2","","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche constatée sur place le 7/02. Un repérage aux jumelles le 4/02 montre le dépôt et que l'avalanche n'est pas partie au-dessus de la côte 1900 (chalet de l'Aubenerie (nom
incertain car mal écrit)). L'avalanche s'est limitée en la vidange du couloir (départ invisible).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3588","16/02/99
00:00","16/02/99
00:00","2100","1050","","","","","","5","2","1","2","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Constat aux jumelles depuis St Alban d'Hurtières.  Zone de rupture vers 2100. Dans la zone d'arrivée, elle forme une deuxième langue arrêtée à peu près à même altitude (1050)
que l'avalanche constatée le 4.02.99.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3588","01/09/98
00:00","04/02/99
00:00","","1050","","","","","","9","9","2","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Constat lors d'une tournée. Le dépôt est commun (nom incertain car mal écrit) avec l'avalanche n°6.  Un dépôt neigeux de 7 cm indique que l'avalanche a eu lieu le 27 ou le 28/01.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3588","01/09/96
00:00","09/12/96
00:00","","1180","","","","","","9","9","2","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Constat lors d'une tournée le 9/12/96.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
