"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 07/06/2004 :
Site 73138 002 (id 3707) --> site 73138 002 (id 8247)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°002
id 3707","19/12/99
00:00","19/12/99
00:00","","1600","1400","","","","","","4","4","2","2","2","2","1-20","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 3707","26/02/99
00:00","26/02/99
00:00","","1550","1350","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3707","13/12/96
00:00","13/12/96
00:00","","1550","1350","","","","","","2","4","2","2","2","2","0","","","","X","","X","","","","X","X","","","","X","","","","","","","X","","",""
"Remarque : Piste obstruée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3707","23/01/95
00:00","23/01/95
00:00","","1550","1350","","","","","","2","4","2","2","2","2","21-50","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 3707","29/12/93
00:00","29/12/93
00:00","","1550","1350","","","","","","2","4","2","2","2","2","51-
100","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°002
id 3707","14/02/90
00:00","14/02/90
00:00","","1550","1350","","","","","","2","4","2","2","2","2","21-50","","","","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°002
id 3707","03/01/82
00:00","03/01/82
00:00","","1550","1350","","","","","","2","4","5","2","5","2","21-50","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avec le redoux brutal tout le versant Sud est parti en plusieurs coulées.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3707","12/12/81
00:00","12/12/81
00:00","","1550","1400","","","","","","4","4","2","2","2","5","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Coupe l'accès à la forêt de Jarrier.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3707","22/01/81
00:00","22/01/81
00:00","","1600","1350","","","","","","5","4","1","2","5","1","51-
100","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Route du Sapey (forêt) obstruée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3707","05/02/80
00:00","05/02/80
00:00","","1600","1400","","","","","","4","4","2","2","2","2","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Obsture la route de la forêt du Sapey.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3707","15/12/79
00:00","15/12/79
00:00","","1600","1450","","","","","","4","4","2","2","2","2","21-50","","","X","X","X","X","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Obsture la route forestière du Sapey.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3707","10/02/79
00:00","10/02/79
00:00","","1600","1350","","","","","","9","9","9","9","9","9","21-50","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
